Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
NS46_paired_2	(50, 60993.0)	(51, 59366.0)	(52, 59900.0)	(53, 59117.0)	(54, 60148.0)	(55, 61216.0)	(56, 62463.0)	(57, 62646.0)	(58, 62349.0)	(59, 64180.0)	(60, 65404.0)	(61, 65045.0)	(62, 64531.0)	(63, 70014.0)	(64, 72707.0)	(65, 70250.0)	(66, 73683.0)	(67, 76340.0)	(68, 80424.0)	(69, 88388.0)	(70, 100130.0)	(71, 101046.0)	(72, 122657.0)	(73, 164586.0)	(74, 166830.0)	(75, 931408.0)	(76, 14275915.0)
NS4_paired_1	(50, 19181.0)	(51, 18319.0)	(52, 19414.0)	(53, 21337.0)	(54, 18917.0)	(55, 19142.0)	(56, 19741.0)	(57, 20046.0)	(58, 20968.0)	(59, 23134.0)	(60, 23062.0)	(61, 24572.0)	(62, 24848.0)	(63, 25387.0)	(64, 25529.0)	(65, 26405.0)	(66, 27505.0)	(67, 28559.0)	(68, 30281.0)	(69, 33124.0)	(70, 36961.0)	(71, 44182.0)	(72, 67095.0)	(73, 98594.0)	(74, 195014.0)	(75, 1573113.0)	(76, 12530711.0)
NS4_paired_2	(50, 30424.0)	(51, 30901.0)	(52, 30887.0)	(53, 31150.0)	(54, 30853.0)	(55, 32516.0)	(56, 33228.0)	(57, 35520.0)	(58, 38980.0)	(59, 40150.0)	(60, 42730.0)	(61, 43388.0)	(62, 44882.0)	(63, 45127.0)	(64, 44771.0)	(65, 45522.0)	(66, 71486.0)	(67, 85825.0)	(68, 44748.0)	(69, 41863.0)	(70, 44788.0)	(71, 51171.0)	(72, 63823.0)	(73, 89341.0)	(74, 208750.0)	(75, 1743326.0)	(76, 11968991.0)
NS51_paired_1	(50, 28702.0)	(51, 28790.0)	(52, 29643.0)	(53, 30043.0)	(54, 30081.0)	(55, 30140.0)	(56, 31325.0)	(57, 32141.0)	(58, 33849.0)	(59, 35105.0)	(60, 36466.0)	(61, 37608.0)	(62, 38518.0)	(63, 39708.0)	(64, 40915.0)	(65, 41738.0)	(66, 43075.0)	(67, 42629.0)	(68, 45361.0)	(69, 47265.0)	(70, 50350.0)	(71, 55096.0)	(72, 68774.0)	(73, 105243.0)	(74, 271880.0)	(75, 2372585.0)	(76, 18020472.0)
NS51_paired_2	(50, 44747.0)	(51, 42856.0)	(52, 42970.0)	(53, 43884.0)	(54, 46526.0)	(55, 49193.0)	(56, 51162.0)	(57, 57675.0)	(58, 60694.0)	(59, 63446.0)	(60, 70489.0)	(61, 69256.0)	(62, 68980.0)	(63, 67322.0)	(64, 62557.0)	(65, 61898.0)	(66, 62264.0)	(67, 62753.0)	(68, 58552.0)	(69, 60397.0)	(70, 64526.0)	(71, 74166.0)	(72, 89191.0)	(73, 128845.0)	(74, 302465.0)	(75, 2520572.0)	(76, 17340116.0)
NS55_paired_1	(50, 14967.0)	(51, 15190.0)	(52, 15550.0)	(53, 16180.0)	(54, 16340.0)	(55, 15971.0)	(56, 16514.0)	(57, 16203.0)	(58, 17742.0)	(59, 16822.0)	(60, 17471.0)	(61, 17489.0)	(62, 18196.0)	(63, 18156.0)	(64, 19038.0)	(65, 19065.0)	(66, 20596.0)	(67, 21011.0)	(68, 22018.0)	(69, 23682.0)	(70, 27543.0)	(71, 28655.0)	(72, 32921.0)	(73, 37418.0)	(74, 46374.0)	(75, 219341.0)	(76, 13694276.0)
NS55_paired_2	(50, 39918.0)	(51, 37742.0)	(52, 37745.0)	(53, 36817.0)	(54, 37495.0)	(55, 37984.0)	(56, 38544.0)	(57, 37845.0)	(58, 37927.0)	(59, 38898.0)	(60, 39458.0)	(61, 39129.0)	(62, 39624.0)	(63, 42336.0)	(64, 44399.0)	(65, 42815.0)	(66, 44547.0)	(67, 46638.0)	(68, 48566.0)	(69, 54687.0)	(70, 63655.0)	(71, 63965.0)	(72, 81713.0)	(73, 115547.0)	(74, 113412.0)	(75, 639061.0)	(76, 12544262.0)
NS58_paired_1	(50, 29618.0)	(51, 29146.0)	(52, 30726.0)	(53, 30831.0)	(54, 30219.0)	(55, 30955.0)	(56, 31581.0)	(57, 32498.0)	(58, 33745.0)	(59, 34907.0)	(60, 36671.0)	(61, 37509.0)	(62, 37783.0)	(63, 39318.0)	(64, 40005.0)	(65, 40528.0)	(66, 41849.0)	(67, 40711.0)	(68, 43450.0)	(69, 44293.0)	(70, 47718.0)	(71, 51166.0)	(72, 63608.0)	(73, 97247.0)	(74, 263818.0)	(75, 2729838.0)	(76, 23711912.0)
NS58_paired_2	(50, 34866.0)	(51, 33835.0)	(52, 33173.0)	(53, 33985.0)	(54, 36000.0)	(55, 38013.0)	(56, 38856.0)	(57, 44227.0)	(58, 47789.0)	(59, 49745.0)	(60, 55292.0)	(61, 54843.0)	(62, 55315.0)	(63, 53008.0)	(64, 49404.0)	(65, 47853.0)	(66, 55980.0)	(67, 57151.0)	(68, 45943.0)	(69, 45537.0)	(70, 48678.0)	(71, 55528.0)	(72, 67440.0)	(73, 98921.0)	(74, 259619.0)	(75, 2896129.0)	(76, 23344520.0)
NS62_paired_1	(50, 14404.0)	(51, 14346.0)	(52, 15081.0)	(53, 15358.0)	(54, 15933.0)	(55, 15631.0)	(56, 15931.0)	(57, 15718.0)	(58, 17006.0)	(59, 16313.0)	(60, 16877.0)	(61, 16783.0)	(62, 17500.0)	(63, 17532.0)	(64, 18614.0)	(65, 18674.0)	(66, 19965.0)	(67, 20554.0)	(68, 21146.0)	(69, 23118.0)	(70, 26758.0)	(71, 27921.0)	(72, 31576.0)	(73, 36212.0)	(74, 44791.0)	(75, 210527.0)	(76, 13182293.0)
NS62_paired_2	(50, 37676.0)	(51, 36698.0)	(52, 36873.0)	(53, 36448.0)	(54, 36648.0)	(55, 37609.0)	(56, 37765.0)	(57, 37432.0)	(58, 37235.0)	(59, 38832.0)	(60, 39419.0)	(61, 39229.0)	(62, 39004.0)	(63, 42699.0)	(64, 44096.0)	(65, 42791.0)	(66, 44926.0)	(67, 46544.0)	(68, 48863.0)	(69, 54323.0)	(70, 63780.0)	(71, 64148.0)	(72, 80627.0)	(73, 113678.0)	(74, 110873.0)	(75, 601322.0)	(76, 12057024.0)
NS67_paired_1	(50, 33625.0)	(51, 33088.0)	(52, 34705.0)	(53, 35104.0)	(54, 34888.0)	(55, 35157.0)	(56, 36197.0)	(57, 37471.0)	(58, 38925.0)	(59, 40867.0)	(60, 43115.0)	(61, 43711.0)	(62, 45326.0)	(63, 46797.0)	(64, 48080.0)	(65, 49448.0)	(66, 51361.0)	(67, 50268.0)	(68, 53766.0)	(69, 55323.0)	(70, 59838.0)	(71, 65992.0)	(72, 83588.0)	(73, 131367.0)	(74, 336872.0)	(75, 2982216.0)	(76, 24521986.0)
