Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
NS10_paired_1	(25.0, 11.0)	(26.0, 201.0)	(27.0, 1792.0)	(28.0, 9850.0)	(29.0, 32889.0)	(30.0, 79617.0)	(31.0, 150324.0)	(32.0, 243149.0)	(33.0, 363306.0)	(34.0, 531192.0)	(35.0, 812754.0)	(36.0, 1391681.0)	(37.0, 2244885.0)	(38.0, 2776455.0)	(39.0, 3022755.0)	(40.0, 759051.0)		
NS10_paired_2	(24.0, 38.0)	(25.0, 535.0)	(26.0, 3522.0)	(27.0, 14428.0)	(28.0, 40944.0)	(29.0, 93665.0)	(30.0, 183456.0)	(31.0, 309768.0)	(32.0, 460448.0)	(33.0, 632344.0)	(34.0, 836725.0)	(35.0, 1118794.0)	(36.0, 1554773.0)	(37.0, 2113027.0)	(38.0, 2504506.0)	(39.0, 2354752.0)	(40.0, 198187.0)	
NS11_paired_1	(25.0, 14.0)	(26.0, 267.0)	(27.0, 2456.0)	(28.0, 13378.0)	(29.0, 45193.0)	(30.0, 107441.0)	(31.0, 198687.0)	(32.0, 318672.0)	(33.0, 466718.0)	(34.0, 671014.0)	(35.0, 1003716.0)	(36.0, 1648187.0)	(37.0, 2745501.0)	(38.0, 3758898.0)	(39.0, 3674548.0)	(40.0, 648712.0)		
NS11_paired_2	(24.0, 59.0)	(25.0, 815.0)	(26.0, 4885.0)	(27.0, 19281.0)	(28.0, 53091.0)	(29.0, 120183.0)	(30.0, 228407.0)	(31.0, 377066.0)	(32.0, 553348.0)	(33.0, 755481.0)	(34.0, 1000523.0)	(35.0, 1350271.0)	(36.0, 1921328.0)	(37.0, 2746709.0)	(38.0, 3370462.0)	(39.0, 2644412.0)	(40.0, 157081.0)	
NS13_paired_1	(24.0, 5.0)	(25.0, 62.0)	(26.0, 591.0)	(27.0, 3533.0)	(28.0, 14278.0)	(29.0, 42901.0)	(30.0, 103440.0)	(31.0, 210713.0)	(32.0, 385282.0)	(33.0, 659513.0)	(34.0, 1105655.0)	(35.0, 1945434.0)	(36.0, 4185002.0)	(37.0, 9940364.0)				
NS13_paired_2	(23.0, 3.0)	(24.0, 54.0)	(25.0, 691.0)	(26.0, 4695.0)	(27.0, 19414.0)	(28.0, 57073.0)	(29.0, 131271.0)	(30.0, 248387.0)	(31.0, 410686.0)	(32.0, 611337.0)	(33.0, 856890.0)	(34.0, 1190059.0)	(35.0, 1764592.0)	(36.0, 3373542.0)	(37.0, 9928079.0)			
NS21_paired_1	(25.0, 61.0)	(26.0, 749.0)	(27.0, 4383.0)	(28.0, 17611.0)	(29.0, 52901.0)	(30.0, 127346.0)	(31.0, 258675.0)	(32.0, 470293.0)	(33.0, 791873.0)	(34.0, 1303659.0)	(35.0, 2238510.0)	(36.0, 4692102.0)	(37.0, 10914914.0)					
NS21_paired_2	(23.0, 2.0)	(24.0, 76.0)	(25.0, 974.0)	(26.0, 6072.0)	(27.0, 24330.0)	(28.0, 70873.0)	(29.0, 161721.0)	(30.0, 305117.0)	(31.0, 504785.0)	(32.0, 751327.0)	(33.0, 1048228.0)	(34.0, 1445816.0)	(35.0, 2108892.0)	(36.0, 3971722.0)	(37.0, 10473142.0)			
NS25_paired_1	(24.0, 2.0)	(25.0, 59.0)	(26.0, 699.0)	(27.0, 4242.0)	(28.0, 17633.0)	(29.0, 54540.0)	(30.0, 134903.0)	(31.0, 284157.0)	(32.0, 533018.0)	(33.0, 936871.0)	(34.0, 1609701.0)	(35.0, 2902416.0)	(36.0, 6364381.0)	(37.0, 14905952.0)				
NS25_paired_2	(23.0, 1.0)	(24.0, 103.0)	(25.0, 1268.0)	(26.0, 8270.0)	(27.0, 33676.0)	(28.0, 99976.0)	(29.0, 230367.0)	(30.0, 432940.0)	(31.0, 707918.0)	(32.0, 1044746.0)	(33.0, 1445822.0)	(34.0, 1987960.0)	(35.0, 2905368.0)	(36.0, 5405915.0)	(37.0, 13444244.0)			
NS27_paired_1	(25.0, 41.0)	(26.0, 387.0)	(27.0, 2373.0)	(28.0, 9778.0)	(29.0, 31426.0)	(30.0, 79148.0)	(31.0, 169604.0)	(32.0, 328342.0)	(33.0, 589581.0)	(34.0, 1035170.0)	(35.0, 1878024.0)	(36.0, 3958518.0)	(37.0, 7805463.0)					
NS27_paired_2	(23.0, 4.0)	(24.0, 77.0)	(25.0, 982.0)	(26.0, 6340.0)	(27.0, 26021.0)	(28.0, 75616.0)	(29.0, 171883.0)	(30.0, 318575.0)	(31.0, 507611.0)	(32.0, 727455.0)	(33.0, 975515.0)	(34.0, 1291818.0)	(35.0, 1797105.0)	(36.0, 3084949.0)	(37.0, 6903904.0)			
