Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NS10_paired_1	(1.0, 85.90182726040281)	(2.0, 7.52027813358636)	(3.0, 1.5747376173061662)	(4.0, 1.2648778796131963)	(5.0, 1.149270378896815)	(6.0, 0.8697527994807571)	(7.0, 0.5828490697611785)	(8.0, 0.43119275609157914)	(9.0, 0.24016882163033162)	('>10', 0.42609488334836004)	('>50', 0.0)	('>100', 0.007187404785223824)	('>500', 0.004629587371585178)	('>1k', 0.02713340772563835)	('>5k', 0.0)	('>10k+', 0.0)
NS10_paired_2	(1.0, 85.87549613600267)	(2.0, 7.556764102260788)	(3.0, 1.6301682819689995)	(4.0, 1.1881609557151478)	(5.0, 1.0955693336320382)	(6.0, 0.8698007245580034)	(7.0, 0.6391242857150385)	(8.0, 0.42608322322932035)	(9.0, 0.25667545808832826)	('>10', 0.4254873219959151)	('>50', 0.0026145580221336963)	('>100', 0.006926691150993838)	('>500', 0.004565959382429052)	('>1k', 0.02256296827817227)	('>5k', 0.0)	('>10k+', 0.0)
NS11_paired_1	(1.0, 78.23698961328262)	(2.0, 14.26804303783642)	(3.0, 4.364115539279678)	(4.0, 1.5240207935272672)	(5.0, 0.6607817261209405)	(6.0, 0.30050618092887404)	(7.0, 0.19250357456321004)	(8.0, 0.12057929437779658)	(9.0, 0.08509048530112111)	('>10', 0.24070726704174067)	('>50', 0.002382967791037361)	('>100', 0.004279519949287856)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS11_paired_2	(1.0, 78.62655725332668)	(2.0, 14.377008736664596)	(3.0, 4.071778693371178)	(4.0, 1.416173274212287)	(5.0, 0.6081942960099578)	(6.0, 0.31676667750999865)	(7.0, 0.17723504856739952)	(8.0, 0.11547625983963465)	(9.0, 0.0871456145656831)	('>10', 0.19666688650576314)	('>50', 0.0012304936551132343)	('>100', 0.005766765771697743)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NS13_paired_1	(1.0, 77.07216456739982)	(2.0, 12.243513071406763)	(3.0, 2.2173573484818907)	(4.0, 0.7441266581977466)	(5.0, 0.6847106645180921)	(6.0, 0.7925675771622694)	(7.0, 0.9759129627483077)	(8.0, 1.0272612697804033)	(9.0, 0.9557213441652347)	('>10', 3.1121600183094515)	('>50', 0.0023207845084093856)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.04215143749272304)	('>5k', 0.0)	('>10k+', 0.13003229582894069)
NS13_paired_2	(1.0, 77.18537718394809)	(2.0, 12.037855712826579)	(3.0, 2.316526124005332)	(4.0, 0.815432655194912)	(5.0, 0.6716257625645653)	(6.0, 0.8228629454163015)	(7.0, 0.8827824860585363)	(8.0, 0.9846349018020824)	(9.0, 0.9048372323405515)	('>10', 3.2075947582248014)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.03814669767521551)	('>5k', 0.0)	('>10k+', 0.1323235399430937)
NS21_paired_1	(1.0, 75.22172708134718)	(2.0, 14.120021870273893)	(3.0, 4.103068811638873)	(4.0, 1.7522220604026393)	(5.0, 0.8901439149616087)	(6.0, 0.5118701763336906)	(7.0, 0.31045648895992967)	(8.0, 0.23115065735645518)	(9.0, 0.19058060862608558)	('>10', 1.0140926475719014)	('>50', 0.14552324816112708)	('>100', 0.07722306025887671)	('>500', 0.0061049687129807765)	('>1k', 0.04279074604485028)	('>5k', 0.0)	('>10k+', 1.383023659349844)
NS21_paired_2	(1.0, 78.32157291683835)	(2.0, 12.954416092072615)	(3.0, 3.3779381068165604)	(4.0, 1.2311229709188358)	(5.0, 0.6667262089370053)	(6.0, 0.41135746510462107)	(7.0, 0.28654623578682253)	(8.0, 0.16013100478928471)	(9.0, 0.12941569444095544)	('>10', 0.8330467575788265)	('>50', 0.12922185044566367)	('>100', 0.05193205477039104)	('>500', 0.010281996557981427)	('>1k', 0.021236716573613285)	('>5k', 0.0)	('>10k+', 1.4150539283686314)
NS25_paired_1	(1.0, 74.2354647859294)	(2.0, 16.101382911446414)	(3.0, 4.957978436568823)	(4.0, 1.892210777862468)	(5.0, 0.9875347504554504)	(6.0, 0.505739512355872)	(7.0, 0.32599240877135593)	(8.0, 0.20929393031732993)	(9.0, 0.1276255668686088)	('>10', 0.568097344265992)	('>50', 0.022494695139477557)	('>100', 0.0)	('>500', 0.003149678433549806)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06303520158528107)
NS25_paired_2	(1.0, 75.27063266062243)	(2.0, 15.564852428356717)	(3.0, 4.748734630161024)	(4.0, 1.8531309249306727)	(5.0, 0.8749362318822049)	(6.0, 0.4835937231814264)	(7.0, 0.2856325188795635)	(8.0, 0.19919056521592454)	(9.0, 0.13877267366717144)	('>10', 0.4914567621635473)	('>50', 0.020027307988093733)	('>100', 0.0)	('>500', 0.0029003875969579916)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06613918535433726)
