#Classification	S-14-POLPIL-B_bracken_P.kreport
k__Bacteria	571770
k__Bacteria|p__Proteobacteria	468417
k__Bacteria|p__Actinobacteria	82911
k__Bacteria|p__Firmicutes	2673
k__Bacteria|p__Cyanobacteria	65
k__Bacteria|p__Deinococcus-Thermus	30
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Bacteroidetes	8984
k__Bacteria|p__Rhodothermaeota	47
k__Bacteria|p__Gemmatimonadetes	118
k__Bacteria|p__Acidobacteria	6736
k__Bacteria|p__Planctomycetes	1166
k__Bacteria|p__Verrucomicrobia	176
k__Bacteria|p__Chlamydiae	28
k__Bacteria|p__Spirochaetes	400
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	20264
k__Eukaryota|k__Viridiplantae	16638
k__Eukaryota|k__Viridiplantae|p__Streptophyta	16627
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Eukaryota|k__Metazoa	2263
k__Eukaryota|k__Metazoa|p__Chordata	2263
k__Eukaryota|k__Fungi	1360
k__Eukaryota|k__Fungi|p__Ascomycota	870
k__Eukaryota|k__Fungi|p__Basidiomycota	490
k__Eukaryota|p__Euglenozoa	3
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
