#Classification	GQ19_bracken_P.kreport
k__Bacteria	2862022
k__Bacteria|p__Firmicutes	1044396
k__Bacteria|p__Actinobacteria	633944
k__Bacteria|p__Tenericutes	353
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Proteobacteria	807499
k__Bacteria|p__Bacteroidetes	293274
k__Bacteria|p__Fusobacteria	74435
k__Bacteria|p__Spirochaetes	4906
k__Bacteria|p__Candidatus_Saccharibacteria	2880
k__Bacteria|p__Synergistetes	330
k__Eukaryota	8815
k__Eukaryota|k__Metazoa	8040
k__Eukaryota|k__Metazoa|p__Chordata	8040
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Basidiomycota	32
k__Eukaryota|k__Viridiplantae	743
k__Eukaryota|k__Viridiplantae|p__Streptophyta	743
k__Viruses	214
k__Viruses|k__Heunggongvirae	214
k__Viruses|k__Heunggongvirae|p__Uroviricota	180
k__Viruses|k__Heunggongvirae|p__Peploviricota	34
