#Classification	W-1-POLJUN-G_bracken_O.kreport
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	617
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	44
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	432
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	432
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	219
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	219
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	57
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	48
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	8
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	26
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	9
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	9
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	6
k__Bacteria|p__Firmicutes	4476
k__Bacteria|p__Firmicutes|c__Bacilli	4294
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	4222
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	72
k__Bacteria|p__Firmicutes|c__Clostridia	131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	6
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	50
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	50
k__Bacteria|p__Cyanobacteria	1801
k__Bacteria|p__Cyanobacteria|o__Chroococcales	240
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	188
k__Bacteria|p__Cyanobacteria|o__Nostocales	466
k__Bacteria|p__Cyanobacteria|o__Synechococcales	355
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	367
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	152
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	3
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	3
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	5
k__Bacteria|p__Cyanobacteria|o__Thermostichales	21
k__Bacteria|p__Deinococcus-Thermus	130
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	130
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	117
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	10
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	3
k__Bacteria|p__Chloroflexi	25
k__Bacteria|p__Chloroflexi|c__Chloroflexia	11
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	11
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	5
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	5
