#Classification	S-26-POLJUN-G_bracken_C.kreport
k__Bacteria	26127
k__Bacteria|p__Proteobacteria	25173
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	18874
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4153
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1623
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	522
k__Bacteria|p__Actinobacteria	582
k__Bacteria|p__Actinobacteria|c__Actinomycetia	582
k__Bacteria|p__Firmicutes	158
k__Bacteria|p__Firmicutes|c__Bacilli	158
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Acidobacteria	182
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	182
k__Bacteria|p__Bacteroidetes	23
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	14
k__Bacteria|p__Bacteroidetes|c__Cytophagia	8
k__Bacteria|p__Planctomycetes	5
k__Bacteria|p__Planctomycetes|c__Planctomycetia	5
k__Eukaryota	1448
k__Eukaryota|k__Viridiplantae	1328
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1328
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1322
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	6
k__Eukaryota|k__Metazoa	111
k__Eukaryota|k__Metazoa|p__Chordata	111
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	111
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	9
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	9
