#Classification	GQ6_bracken_F.kreport
k__Bacteria	7339893
k__Bacteria|p__Firmicutes	3060602
k__Bacteria|p__Firmicutes|c__Bacilli	2435562
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2434691
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1828549
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	79192
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	151270
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	9693
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	365985
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	870
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	769
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	100
k__Bacteria|p__Firmicutes|c__Negativicutes	600808
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	593273
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	593273
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	7535
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	7535
k__Bacteria|p__Firmicutes|c__Clostridia	23235
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	23235
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	22433
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	677
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	17
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	52
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	53
k__Bacteria|p__Firmicutes|c__Tissierellia	977
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	977
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	977
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	18
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	18
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	18
k__Bacteria|p__Actinobacteria	672515
k__Bacteria|p__Actinobacteria|c__Actinomycetia	672180
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	640010
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	640002
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae	6
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	18615
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	18615
