#Classification	S-23-POLJUN-G_bracken_O.kreport
k__Bacteria	808547
k__Bacteria|p__Proteobacteria	557560
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	373088
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	219358
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	115460
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	27848
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6191
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	3523
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	573
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	55
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	45
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	143749
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	137908
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3417
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1415
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1006
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	38158
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	10057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	8071
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	17810
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	459
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	468
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	85
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	314
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	175
