#Classification	SRR20002455_bracken_C.kreport
k__Bacteria	2842680
k__Bacteria|p__Proteobacteria	2459396
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2177159
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	241098
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	40869
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	125
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	23
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	96
k__Bacteria|p__Proteobacteria|c__Oligoflexia	13
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	11
k__Bacteria|p__Actinobacteria	247566
k__Bacteria|p__Actinobacteria|c__Actinomycetia	247336
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	207
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	16
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	6
k__Bacteria|p__Firmicutes	128934
k__Bacteria|p__Firmicutes|c__Bacilli	127619
k__Bacteria|p__Firmicutes|c__Clostridia	844
k__Bacteria|p__Firmicutes|c__Tissierellia	244
k__Bacteria|p__Firmicutes|c__Negativicutes	212
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	13
k__Bacteria|p__Deinococcus-Thermus	1726
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	1726
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	1
k__Bacteria|p__Bacteroidetes	4769
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2287
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2375
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	59
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	29
k__Bacteria|p__Bacteroidetes|c__Cytophagia	18
k__Bacteria|p__Chlamydiae	164
k__Bacteria|p__Chlamydiae|c__Chlamydiia	164
k__Bacteria|p__Verrucomicrobia	23
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	23
k__Bacteria|p__Planctomycetes	2
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2
k__Bacteria|p__Fusobacteria	91
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	91
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Spirochaetes|c__Spirochaetia	4
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	1
k__Eukaryota	24414
k__Eukaryota|k__Fungi	13613
k__Eukaryota|k__Fungi|p__Basidiomycota	10068
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	6687
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	3381
k__Eukaryota|k__Fungi|p__Ascomycota	3545
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	2516
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	1019
k__Eukaryota|k__Metazoa	1109
k__Eukaryota|k__Metazoa|p__Chordata	1109
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1109
k__Eukaryota|k__Viridiplantae	9640
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9640
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	9640
k__Eukaryota|p__Euglenozoa	30
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	30
k__Eukaryota|p__Apicomplexa	20
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	18
k__Eukaryota|p__Apicomplexa|c__Conoidasida	2
k__Viruses	96
k__Viruses|k__Heunggongvirae	96
k__Viruses|k__Heunggongvirae|p__Uroviricota	74
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	74
k__Viruses|k__Heunggongvirae|p__Peploviricota	22
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	22
