#Classification	S-22-POLJUN-G_bracken_P.kreport
k__Bacteria	25176
k__Bacteria|p__Proteobacteria	17657
k__Bacteria|p__Cyanobacteria	6546
k__Bacteria|p__Actinobacteria	425
k__Bacteria|p__Firmicutes	97
k__Bacteria|p__Acidobacteria	379
k__Bacteria|p__Bacteroidetes	56
k__Bacteria|p__Planctomycetes	12
k__Eukaryota	1225
k__Eukaryota|k__Viridiplantae	1032
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1032
k__Eukaryota|k__Metazoa	191
k__Eukaryota|k__Metazoa|p__Chordata	191
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
