#Classification	SRR20002401_bracken_P.kreport
k__Bacteria	7667777
k__Bacteria|p__Firmicutes	3157499
k__Bacteria|p__Actinobacteria	581535
k__Bacteria|p__Deinococcus-Thermus	3461
k__Bacteria|p__Cyanobacteria	112
k__Bacteria|p__Tenericutes	31
k__Bacteria|p__Proteobacteria	3881437
k__Bacteria|p__Bacteroidetes	42808
k__Bacteria|p__Gemmatimonadetes	10
k__Bacteria|p__Chlamydiae	297
k__Bacteria|p__Planctomycetes	48
k__Bacteria|p__Verrucomicrobia	31
k__Bacteria|p__Fusobacteria	378
k__Bacteria|p__Spirochaetes	95
k__Bacteria|p__Candidatus_Saccharibacteria	15
k__Bacteria|p__Nitrospirae	9
k__Bacteria|p__Acidobacteria	7
k__Bacteria|p__Synergistetes	1
k__Eukaryota	26734
k__Eukaryota|k__Fungi	11656
k__Eukaryota|k__Fungi|p__Basidiomycota	10966
k__Eukaryota|k__Fungi|p__Ascomycota	689
k__Eukaryota|k__Metazoa	4372
k__Eukaryota|k__Metazoa|p__Chordata	4372
k__Eukaryota|k__Viridiplantae	10676
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10676
k__Eukaryota|p__Apicomplexa	19
k__Eukaryota|p__Euglenozoa	10
k__Archaea	20
k__Archaea|p__Euryarchaeota	19
k__Archaea|p__Crenarchaeota	1
k__Viruses	5027
k__Viruses|k__Shotokuvirae	2714
k__Viruses|k__Shotokuvirae|p__Cossaviricota	2714
k__Viruses|k__Heunggongvirae	2313
k__Viruses|k__Heunggongvirae|p__Uroviricota	2313
