#Classification	S-5-POLCOM-G_bracken_P.kreport
k__Bacteria	16242
k__Bacteria|p__Proteobacteria	14808
k__Bacteria|p__Actinobacteria	606
k__Bacteria|p__Cyanobacteria	82
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Acidobacteria	556
k__Bacteria|p__Bacteroidetes	178
k__Bacteria|p__Planctomycetes	8
k__Eukaryota	415
k__Eukaryota|k__Viridiplantae	308
k__Eukaryota|k__Viridiplantae|p__Streptophyta	308
k__Eukaryota|k__Metazoa	102
k__Eukaryota|k__Metazoa|p__Chordata	102
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
