#Classification	S-2-POLJUN-G_bracken_P.kreport
k__Bacteria	59701
k__Bacteria|p__Proteobacteria	58725
k__Bacteria|p__Actinobacteria	713
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Acidobacteria	152
k__Bacteria|p__Bacteroidetes	102
k__Bacteria|p__Planctomycetes	2
k__Eukaryota	557
k__Eukaryota|k__Viridiplantae	508
k__Eukaryota|k__Viridiplantae|p__Streptophyta	508
k__Eukaryota|k__Metazoa	48
k__Eukaryota|k__Metazoa|p__Chordata	48
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
