feature	Abiotrophia.defectiva	Acetivibrio.thermocellus	Acetobacterium.woodii	Acidaminococcus.fermentans	Acidaminococcus.intestini	Acidovorax.carolinensis	Acidovorax.sp..1608163	Acidovorax.sp..JS42	Acidovorax.sp..KKS102	Acidovorax.sp..YS12	Acinetobacter.haemolyticus	Acinetobacter.junii	Actinobacillus.pleuropneumoniae	Actinomyces.naeslundii	Actinomyces.oris	Actinomyces.pacaensis	Actinomyces.sp..HMT.175	Actinomyces.sp..HMT897	Actinomyces.sp..oral.taxon.169	Actinomyces.sp..oral.taxon.171	Actinomyces.sp..oral.taxon.414	Actinomyces.sp..oral.taxon.897	Actinomyces.viscosus	Acutalibacter.muris	Adlercreutzia.equolifaciens	Adlercreutzia.hattorii	Aerococcus.christensenii	Aeromonas.salmonicida	Aggregatibacter.aphrophilus	Aggregatibacter.segnis	Aggregatibacter.sp..Marseille.P9115	Aggregatibacter.sp..oral.taxon.513	Agrobacterium.tumefaciens	Akkermansia.muciniphila	Alicycliphilus.denitrificans	Alistipes.communis	Alistipes.dispar	Alistipes.finegoldii	Alistipes.indistinctus	Alistipes.megaguti	Alistipes.onderdonkii	Alistipes.senegalensis	Alistipes.shahii	Alistipes.sp..dk3624	Alkalihalobacillus.clausii	Alkaliphilus.metalliredigens	Amedibacterium.intestinale	Aminipila.butyrica	Aminipila.luticellarii	Aminipila.terrae	Anaerobutyricum.hallii	Anaerococcus.mediterraneensis	Anaerococcus.obesiensis	Anaerococcus.prevotii	Anaerococcus.vaginalis	Anaerocolumna.cellulosilytica	Anaerocolumna.chitinilytica	Anaerocolumna.sedimenticola	Anaerostipes.caccae	Anaerostipes.hadrus	Anaerostipes.rhamnosivorans	Anaerotignum.propionicum	Anoxybacillus.caldiproteolyticus	Anoxybacillus.flavithermus	Arabiibacter.massiliensis	Arachnia.propionica	Arachnia.rubra	Arcanobacterium.haemolyticum	Aromatoleum.pumilum	Arthrobacter.sp..PGP41	Atopobium.sp..oral.taxon.416	Auritidibacter.sp..NML130574	Bacillus.altitudinis	Bacillus.anthracis	Bacillus.cereus	Bacillus.paralicheniformis	Bacillus.sp..FJAT.45348	Bacillus.sp..NSP9.1	Bacillus.subtilis	Bacillus.thuringiensis	Bacillus.velezensis	Bacteroides.caccae	Bacteroides.caecimuris	Bacteroides.cellulosilyticus	Bacteroides.coprosuis	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.fragilis	Bacteroides.helcogenes	Bacteroides.heparinolyticus	Bacteroides.intestinalis	Bacteroides.luhongzhouii	Bacteroides.nordii	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.sp..A1C1	Bacteroides.sp..CACC.737	Bacteroides.sp..CBA7301	Bacteroides.sp..HF.162	Bacteroides.sp..KGMB07931	Bacteroides.sp..KGMB10229	Bacteroides.sp..M10	Bacteroides.sp..PHL.2737	Bacteroides.sp..ZJ.18	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.xylanisolvens	Bacteroides.zhangwenhongi	Bacteroides.zoogleoformans	Barnesiella.viscericola	Berryella.intestinalis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.animalis	Bifidobacterium.bifidum	Bifidobacterium.breve	Bifidobacterium.catenulatum	Bifidobacterium.choerinum	Bifidobacterium.dentium	Bifidobacterium.eulemuris	Bifidobacterium.imperatoris	Bifidobacterium.lemurum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Bifidobacterium.pseudolongum	Bifidobacterium.pullorum	Bifidobacterium.saguini	Bifidobacterium.scardovii	Bifidobacterium.subtile	Bifidobacterium.thermophilum	Blautia.argi	Blautia.hansenii	Blautia.liquoris	Blautia.massiliensis	Blautia.obeum	Blautia.producta	Blautia.pseudococcoides	Blautia.sp..NBRC.113351	Blautia.sp..SC05B48	Brachyspira.hyodysenteriae	Brachyspira.pilosicoli	Bradyrhizobium.betae	Bradyrhizobium.japonicum	Bradyrhizobium.quebecense	Bradyrhizobium.septentrionale	Bradyrhizobium.sp..41S5	Bradyrhizobium.sp..BTAi1	Bradyrhizobium.sp..CCBAU.53421	Bradyrhizobium.sp..SK17	Brucella.anthropi	Bulleidia.sp..zg.1006	Burkholderia.cenocepacia	Burkholderia.pseudomallei	Burkholderia.sp..MS455	Burkholderia.thailandensis	Butyricicoccus.sp..GAM44	Butyricimonas.faecalis	Butyricimonas.virosa	Butyrivibrio.fibrisolvens	Butyrivibrio.hungatei	Butyrivibrio.proteoclasticus	Caldibacillus.thermoamylovorans	Caldicellulosiruptor.sp..YA01	Caloramator.sp..E03	Caloranaerobacter.azorensis	Campylobacter.coli	Campylobacter.concisus	Campylobacter.fetus	Campylobacter.gracilis	Campylobacter.hominis	Campylobacter.jejuni	Campylobacter.lari	Campylobacter.rectus	Campylobacter.ureolyticus	Capnocytophaga.canimorsus	Capnocytophaga.sputigena	Caproicibacter.fermentans	Caproicibacterium.amylolyticum	Caproicibacterium.lactatifermentans	Caproiciproducens.sp..NJN.50	Cardiobacterium.hominis	Cardiobacterium.sp..Marseille.Q4385	Carnobacterium.divergens	Carnobacterium.maltaromaticum	Cellulosilyticum.lentocellum	Cellulosilyticum.sp..WCF.2	Christensenella.minuta	Christensenella.sp..Marseille.P3954	Citrobacter.freundii	Cloacibacillus.porcorum	Cloacibacterium.caeni	Cloacibacterium.normanense	Clostridioides.difficile	Clostridioides.sp..ES.S.0010.02	Clostridioides.sp..ES.S.0054.01	Clostridioides.sp..ES.W.0016.02	Clostridium.acetobutylicum	Clostridium.argentinense	Clostridium.autoethanogenum	Clostridium.baratii	Clostridium.beijerinckii	Clostridium.bornimense	Clostridium.botulinum	Clostridium.butyricum	Clostridium.cadaveris	Clostridium.carboxidivorans	Clostridium.cellulovorans	Clostridium.chauvoei	Clostridium.cochlearium	Clostridium.estertheticum	Clostridium.fermenticellae	Clostridium.gasigenes	Clostridium.intestinale	Clostridium.isatidis	Clostridium.kluyveri	Clostridium.novyi	Clostridium.pasteurianum	Clostridium.perfringens	Clostridium.saccharobutylicum	Clostridium.saccharoperbutylacetonicum	Clostridium.septicum	Clostridium.sp..deep.sea	Clostridium.sp..001	Clostridium.sp..BNL1100	Clostridium.sp..C1	Clostridium.sp..C5S11	Clostridium.sp..CT4	Clostridium.sp..DL.VIII	Clostridium.sp..JN.1	Clostridium.sp..JN.9	Clostridium.sp..M62.1	Clostridium.sp..MF28	Clostridium.sp..SY8519	Clostridium.sporogenes	Clostridium.taeniosporum	Clostridium.tetani	Clostridium.thermarum	Collinsella.aerofaciens	Collinsella.sp..zg1085	Collinsella.stercoris	Comamonas.aquatica	Coprobacter.secundus	Coprococcus.catus	Coprococcus.comes	Coprococcus.eutactus	Coprococcus.sp..ART55.1	Coriobacterium.glomerans	Corynebacterium.callunae	Corynebacterium.coyleae	Corynebacterium.diphtheriae	Corynebacterium.flavescens	Corynebacterium.glucuronolyticum	Corynebacterium.glutamicum	Corynebacterium.jeikeium	Corynebacterium.kefirresidentii	Corynebacterium.matruchotii	Corynebacterium.propinquum	Corynebacterium.segmentosum	Corynebacterium.sp..NML98.0116	Corynebacterium.tuberculostearicum	Corynebacterium.variabile	Corynebacterium.vitaeruminis	Cruoricaptor.ignavus	Cryptobacterium.curtum	Cupriavidus.basilensis	Cupriavidus.metallidurans	Cupriavidus.taiwanensis	Cutibacterium.acnes	Cytobacillus.gottheilii	Cytobacillus.kochii	Dehalobacter.restrictus	Dehalobacterium.formicoaceticum	Dehalococcoides.mccartyi	Delftia.acidovorans	Denitrobacterium.detoxificans	Dermabacter.jinjuensis	Dermacoccus.nishinomiyaensis	Desulfitobacterium.hafniense	Desulfomicrobium.orale	Desulfovibrio.desulfuricans	Desulfovibrio.fairfieldensis	Desulfovibrio.piger	Desulfovibrio.sp..86	Desulfovibrio.sp..G11	Desulfovibrio.vulgaris	Dialister.hominis	Dialister.massiliensis	Dialister.pneumosintes	Diaphorobacter.polyhydroxybutyrativorans	Diaphorobacter.sp..HDW4A	Diaphorobacter.sp..JS3050	Diaphorobacter.sp..JS3051	Diaphorobacter.sp..MNS.0	Dolosigranulum.pigrum	Duncaniella.dubosii	Dysosmobacter.sp..Marseille.Q4140	Dysosmobacter.welbionis	Eggerthella.guodeyinii	Eggerthella.lenta	Eggerthella.sp..YY7918	Eikenella.corrodens	Enterobacter.asburiae	Enterobacter.hormaechei	Enterobacter.roggenkampii	Enterocloster.bolteae	Enterocloster.clostridioformis	Enterococcus.avium	Enterococcus.casseliflavus	Enterococcus.cecorum	Enterococcus.durans	Enterococcus.faecalis	Enterococcus.faecium	Enterococcus.italicus	Enterococcus.lactis	Enterococcus.saigonensis	Epilithonimonas.vandammei	Erysipelatoclostridium.ramosum	Escherichia.albertii	Escherichia.coli	Escherichia.fergusonii	Escherichia.marmotae	Ethanoligenens.harbinense	Eubacterium.callanderi	Eubacterium.limosum	Eubacterium.maltosivorans	Eubacterium.sp..NSJ.61	Eubacterium.sp..c.25	Exiguobacterium.sp..S3.2	Ezakiella.massiliensis	Faecalibacillus.intestinalis	Faecalibacterium.prausnitzii	Faecalibaculum.rodentium	Faecalicatena.sp..Marseille.Q4148	Faecalitalea.cylindroides	Fannyhessea.vaginae	Fastidiosipila.sanguinis	Filifactor.alocis	Finegoldia.magna	Flavonifractor.plautii	Flintibacter.sp..KGMB00164	Fretibacterium.fastidiosum	Fusobacterium.hwasookii	Fusobacterium.mortiferum	Fusobacterium.necrophorum	Fusobacterium.nucleatum	Fusobacterium.periodonticum	Fusobacterium.pseudoperiodonticum	Fusobacterium.sp..oral.taxon.203	Fusobacterium.ulcerans	Gardnerella.leopoldii	Gardnerella.vaginalis	Gemella.haemolysans	Gemella.morbillorum	Gemella.sanguinis	Gemella.sp..oral.taxon.928	Gemella.sp..zg.570	Gemmatimonas.aurantiaca	Geoalkalibacter.subterraneus	Geobacter.sp..Jerry.YX	Gordonibacter.pamelaeae	Gordonibacter.urolithinfaciens	Gottschalkia.acidurici	Granulicatella.adiacens	Granulicatella.elegans	Haemophilus.haemolyticus	Haemophilus.influenzae	Haemophilus.parahaemolyticus	Haemophilus.parainfluenzae	Haemophilus.pittmaniae	Haemophilus.sp..oral.taxon.036	Halopseudomonas.pelagia	Haploplasma.axanthum	Hathewaya.histolytica	Helcococcus.kunzii	Helicobacter.canadensis	Heliomicrobium.modesticaldum	Herbinix.luporum	Heyndrickxia.oleronia	Histophilus.somni	Hungatella.hathewayi	Hydrogenophaga.sp..PBL.H3	Intestinibaculum.porci	Intestinimonas.butyriciproducens	Jeotgalibaca.arthritidis	Jonquetella.anthropi	Klebsiella.aerogenes	Klebsiella.michiganensis	Klebsiella.pneumoniae	Klebsiella.quasipneumoniae	Klebsiella.variicola	Komagataeibacter.oboediens	Lachnoanaerobaculum.umeaense	Lachnoclostridium.phocaeense	Lachnoclostridium.phytofermentans	Lachnoclostridium.sp..YL32	Lachnospira.eligens	Lacrimispora.saccharolytica	Lacrimispora.sphenoides	Lacticaseibacillus.paracasei	Lacticaseibacillus.rhamnosus	Lactiplantibacillus.plantarum	Lactobacillus.acetotolerans	Lactobacillus.acidophilus	Lactobacillus.crispatus	Lactobacillus.delbrueckii	Lactobacillus.gasseri	Lactobacillus.helveticus	Lactobacillus.iners	Lactobacillus.jensenii	Lactobacillus.johnsonii	Lactococcus.cremoris	Lactococcus.garvieae	Lactococcus.lactis	Lactococcus.piscium	Lactococcus.raffinolactis	Lactococcus.sp..LG606	Lancefieldella.parvula	Latilactobacillus.curvatus	Latilactobacillus.sakei	Lautropia.mirabilis	Lawsonella.clevelandensis	Lawsonia.intracellularis	Leptospirillum.ferriphilum	Leptotrichia.sp..oral.taxon.212	Leptotrichia.sp..oral.taxon.218	Leptotrichia.sp..oral.taxon.498	Leptotrichia.trevisanii	Leptotrichia.wadei	Leuconostoc.carnosum	Leuconostoc.citreum	Leuconostoc.gelidum	Leuconostoc.kimchii	Leuconostoc.lactis	Leuconostoc.mesenteroides	Leuconostoc.pseudomesenteroides	Levilactobacillus.brevis	Ligilactobacillus.agilis	Ligilactobacillus.animalis	Ligilactobacillus.murinus	Ligilactobacillus.ruminis	Ligilactobacillus.salivarius	Limosilactobacillus.fermentum	Limosilactobacillus.mucosae	Limosilactobacillus.reuteri	Limosilactobacillus.vaginalis	Listeria.monocytogenes	Loigolactobacillus.coryniformis	Longibaculum.sp..KGMB06250	Longicatena.caecimuris	Lysinibacillus.timonensis	Mageeibacillus.indolicus	Mameliella.alba	Mammaliicoccus.lentus	Mammaliicoccus.sciuri	Massilistercora.timonensis	Megamonas.funiformis	Megamonas.hypermegale	Megasphaera.elsdenii	Megasphaera.massiliensis	Megasphaera.stantonii	Mesorhizobium.sp..M1E.F.Ca.ET.045.02.1.1	Mesorhizobium.terrae	Methylibium.sp..Pch.M	Methylobacterium.durans	Methylobacterium.oryzae	Methylobacterium.radiotolerans	Methylobacterium.sp..C1	Methylobacterium.sp..DM1	Methylomusa.anaerophila	Methylorubrum.extorquens	Methylorubrum.populi	Methylorubrum.sp..B1.46	Minimicrobia.vallesae	Mobiluncus.curtisii	Mogibacterium.diversum	Mogibacterium.pumilum	Monoglobus.pectinilyticus	Moorella.glycerini	Moraxella.osloensis	Murdochiella.vaginalis	Muribaculum.gordoncarteri	Muribaculum.intestinale	Mycobacterium.canettii	Mycobacterium.paragordonae	Mycolicibacterium.phocaicum	Nanosynbacter.featherlites	Nanosynbacter.lyticus	Nanosynbacter.sp..HMT352	Ndongobacter.massiliensis	Neisseria.elongata	Neisseria.flavescens	Neisseria.gonorrhoeae	Neisseria.meningitidis	Neisseria.mucosa	Neisseria.polysaccharea	Neisseria.sicca	Neisseria.subflava	Neobacillus.drentensis	Niallia.circulans	Novisyntrophococcus.fermenticellae	Novosphingobium.resinovorum	Odoribacter.splanchnicus	Oleidesulfovibrio.alaskensis	Olsenella.sp..GAM18	Olsenella.sp..oral.taxon.807	Olsenella.timonensis	Olsenella.uli	Ornithobacterium.rhinotracheale	Oscillibacter.sp..NSJ.62	Oscillibacter.sp..PEA192	Ottowia.sp..oral.taxon.894	Paenibacillus.physcomitrellae	Paenibacillus.tritici	Paenibacillus.yonginensis	Paeniclostridium.sordellii	Pandoraea.pnomenusa	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.johnsonii	Parabacteroides.merdae	Parabacteroides.sp..CT06	Paraclostridium.bifermentans	Parafannyhessea.umbonata	Paraprevotella.xylaniphila	Parascardovia.denticolens	Parolsenella.catena	Parolsenella.massiliensis	Parvimonas.micra	Paucilactobacillus.hokkaidonensis	Pauljensenia.hongkongensis	Pediococcus.acidilactici	Pediococcus.pentosaceus	Peptacetobacter.hiranonis	Peptoclostridium.acidaminophilum	Peptoniphilus.harei	Peptoniphilus.ivorii	Peribacillus.asahii	Petrimonas.mucosa	Petrocella.atlantisensis	Phascolarctobacterium.faecium	Phascolarctobacterium.sp..Marseille.Q4147	Phocaeicola.coprophilus	Phocaeicola.dorei	Phocaeicola.salanitronis	Phocaeicola.vulgatus	Phoenicibacter.congonensis	Porphyromonas.asaccharolytica	Porphyromonas.cangingivalis	Porphyromonas.crevioricanis	Porphyromonas.endodontalis	Porphyromonas.gingivalis	Porphyromonas.sp..oral.taxon.275	Prevotella.buccalis	Prevotella.copri	Prevotella.dentalis	Prevotella.denticola	Prevotella.enoeca	Prevotella.fusca	Prevotella.herbatica	Prevotella.histicola	Prevotella.intermedia	Prevotella.jejuni	Prevotella.melaninogenica	Prevotella.multiformis	Prevotella.nigrescens	Prevotella.oris	Prevotella.ruminicola	Prevotella.scopos	Prevotella.sp..Rep29	Prevotella.sp..oral.taxon.299	Prevotella.sp..oral.taxon.475	Prevotella.veroralis	Priestia.megaterium	Propionibacterium.acidifaciens	Propionibacterium.freudenreichii	Propionimicrobium.sp..Marseille.P3275	Pseudobutyrivibrio.xylanivorans	Pseudoclostridium.thermosuccinogenes	Pseudodesulfovibrio.indicus	Pseudomonas.aeruginosa	Pseudomonas.oleovorans	Pseudomonas.putida	Pseudomonas.stutzeri	Pseudoprevotella.muciniphila	Pusillimonas.faecalis	Ralstonia.insidiosa	Ralstonia.mannitolilytica	Ralstonia.pickettii	Ralstonia.pseudosolanacearum	Ralstonia.solanacearum	Ralstonia.sp..56D2	Raoultella.planticola	Rhodocaloribacter.litoris	Rhodococcus.fascians	Romboutsia.hominis	Romboutsia.ilealis	Romboutsia.sp..CE17	Roseburia.hominis	Roseburia.intestinalis	Rothia.aeria	Rothia.dentocariosa	Rothia.kristinae	Rothia.mucilaginosa	Ruminiclostridium.cellulolyticum	Ruminiclostridium.herbifermentans	Ruminococcus.albus	Ruminococcus.bicirculans	Ruminococcus.bovis	Ruminococcus.champanellensis	Ruthenibacterium.lactatiformans	Saccharibacillus.brassicae	Saccharothrix.sp..6.C	Salmonella.enterica	Sarcina.sp..JB2	Scardovia.inopinata	Schaalia.meyeri	Schaalia.odontolytica	Schaalia.sp..19OD2882	Schaalia.turicensis	Schleiferilactobacillus.harbinensis	Sedimentibacter.sp..zth1	Selenomonas.ruminantium	Selenomonas.sp..oral.taxon.126	Selenomonas.sp..oral.taxon.478	Selenomonas.sp..oral.taxon.920	Selenomonas.sputigena	Shigella.boydii	Shigella.dysenteriae	Shigella.flexneri	Shigella.sonnei	Slackia.heliotrinireducens	Sneathia.vaginalis	Sodaliphilus.pleomorphus	Sodalis.pierantonius	Solibaculum.mannosilyticum	Sorangium.cellulosum	Sphingobacterium.daejeonense	Sphingobium.baderi	Sphingobium.fuliginis	Sphingobium.yanoikuyae	Sphingomonas.melonis	Sphingomonas.panacis	Sphingomonas.sinipercae	Sphingomonas.sp..LM7	Sphingomonas.sp..S2.65	Sporomusa.termitida	Staphylococcus.aureus	Staphylococcus.epidermidis	Staphylococcus.haemolyticus	Staphylococcus.hominis	Staphylococcus.pasteuri	Staphylococcus.saccharolyticus	Staphylococcus.saprophyticus	Staphylococcus.simulans	Staphylospora.marina	Stenotrophomonas.acidaminiphila	Steroidobacter.denitrificans	Streptobacillus.moniliformis	Streptococcus.acidominimus	Streptococcus.agalactiae	Streptococcus.anginosus	Streptococcus.australis	Streptococcus.canis	Streptococcus.constellatus	Streptococcus.cristatus	Streptococcus.dysgalactiae	Streptococcus.equi	Streptococcus.equinus	Streptococcus.gallolyticus	Streptococcus.gordonii	Streptococcus.gwangjuense	Streptococcus.ilei	Streptococcus.infantarius	Streptococcus.infantis	Streptococcus.intermedius	Streptococcus.koreensis	Streptococcus.lactarius	Streptococcus.lutetiensis	Streptococcus.milleri	Streptococcus.mitis	Streptococcus.mutans	Streptococcus.oralis	Streptococcus.parasanguinis	Streptococcus.parasuis	Streptococcus.parauberis	Streptococcus.pasteurianus	Streptococcus.periodonticum	Streptococcus.pluranimalium	Streptococcus.pneumoniae	Streptococcus.porcinus	Streptococcus.pseudopneumoniae	Streptococcus.pseudoporcinus	Streptococcus.pyogenes	Streptococcus.rubneri	Streptococcus.salivarius	Streptococcus.sanguinis	Streptococcus.sobrinus	Streptococcus.sp..116.D4	Streptococcus.sp..1643	Streptococcus.sp..A12	Streptococcus.sp..CNU.G3	Streptococcus.sp..FDAARGOS.192	Streptococcus.sp..FDAARGOS.522	Streptococcus.sp..HSISM1	Streptococcus.sp..HSISS1	Streptococcus.sp..HSISS2	Streptococcus.sp..HSISS3	Streptococcus.sp..KS.6	Streptococcus.sp..LPB0220	Streptococcus.sp..NCTC.11567	Streptococcus.sp..NPS.308	Streptococcus.sp..NSJ.72	Streptococcus.sp..oral.taxon.061	Streptococcus.sp..oral.taxon.064	Streptococcus.sp..oral.taxon.431	Streptococcus.suis	Streptococcus.thermophilus	Streptococcus.vestibularis	Succinivibrio.dextrinosolvens	Suicoccus.acidiformans	Sulfurovum.sp..NBC37.1	Sutterella.faecalis	Sutterella.megalosphaeroides	Sutterella.wadsworthensis	Tannerella.forsythia	Tannerella.sp..oral.taxon.HOT.286	Tepidanaerobacter.acetatoxydans	Terrisporobacter.sp..MCA3	Thermoanaerobacter.sp..X514	Thermobacillus.composti	Thermoclostridium.stercorarium	Thermophilibacter.immobilis	Thermosipho.ferrireducens	Tissierella.sp..JN.28	Treponema.denticola	Treponema.medium	Treponema.parvum	Treponema.pedis	Treponema.peruense	Treponema.phagedenis	Treponema.ruminis	Treponema.socranskii	Treponema.succinifaciens	Treponema.vincentii	Trueperella.pyogenes	Tumebacillus.avium	Turicibacter.sanguinis	Turicibacter.sp..H121	Turicibacter.sp..TJ11	Turicimonas.muris	Vallitalea.guaymasensis	Vallitalea.pronyensis	Veillonella.atypica	Veillonella.dispar	Veillonella.nakazawae	Veillonella.parvula	Veillonella.rodentium	Veillonella.sp..S12025.13	Vescimonas.coprocola	Vescimonas.fastidiosa	Weissella.cibaria	Weissella.confusa	Weissella.paramesenteroides	Weizmannia.coagulans	Xanthomonas.campestris	X.Clostridium..hylemonae	X.Clostridium..innocuum	X.Clostridium..scindens	X.Ruminococcus..gnavus	X.Ruminococcus..torques	endosymbiont.TC1.of.Trimyema.compressum
NS71	3	0	0	0	32	0	4	0	18	0	0	0	0	180	2144	62	395	0	111	37	110	0	20	329	8020	10940	0	0	0	1	0	0	0	519426	0	3665	128	3601	1110	30	1826	105	3755	0	8	0	562	10	89	3	211081	104	44	0	64	10	2	1	831	659675	29	0	0	12	30	173	3	9	0	0	1	0	3	12	0	54	0	0	0	4	84	398170	252	1866	0	1589	7672	36153	18	0	26700	89	3	8013	209	1113	571	331	535	396	96	48	0	36	39956	4635	38464	4114	162	1	378	15	1401	174	9	356794	6155	111	2	91	14	15	0	929491	1598	0	42	1	15	0	1	4566	4533	351	123569	53972	3282	479	574	50206	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	6	111	415	16	2	19	0	12	0	5	185	2	0	0	1051	1948	1	0	3	0	0	9	9	24	16	0	0	445	16	0	0	3882	3514	0	19	0	0	45357	2	12	129	2	1	0	97	169	196	1812	266	1084	6	0	162	0	1	0	40	17	101	5	1	256	4087	20	11	2091	0	0	0	4198	49	14	26	26	0	59012	0	331	397	18	5	0	185331	5	37	0	20	92038	25822	1303	5815	0	0	0	0	0	0	0	1	0	0	8	17	0	1	13	0	60	0	0	0	0	10	0	10	0	5	3	0	1	0	2	0	0	0	0	10	0	7	0	0	8	1	0	0	0	0	0	0	1	6942	46311	28	10438	98	0	0	0	0	77065	5759	10	0	55	0	22	7558	0	0	21	0	2029	0	1137	0	0	18	684	6749	1445	4940	1817	0	5	2568	106745	13	5564	111895	47	1	5	99	9075	822	1	0	10	0	6	0	28	0	0	2	52	19	17	310	31	6	0	8	0	764	1301	6	9	0	0	0	0	61	0	0	0	0	0	52	3	5	12	1	0	306	0	76	3290	137	0	37	0	0	0	0	637	74	7616	19	5046	2098	43501	2	17	1	1751	0	3	15	1	0	11	1	0	2	384	12	4661	9	22	3	8	36	1115	45	32	0	0	72	0	0	0	0	7	37	38	28	0	75	0	1	199	0	1	174	14	2	1	0	0	4	7	1769	3986	9	321	0	0	0	177808	18	0	7	0	15	0	6	0	0	0	3	5	0	0	0	0	0	6	4	612	63	31658	0	0	101	0	0	43	0	2	1	4	0	19	0	2	0	0	3	0	1	0	0	2	213	0	1749	0	33	19	3	4	0	2747	7909	0	0	0	5	537	0	11598	6568	5624	1973	580	175	13	148	0	20	101	596	0	21	3	6	75	0	6	1	39	1	3	50366	47	390	14693	77	157596	25	44	0	0	0	1	0	385	593	0	1	0	0	0	0	11	3	7	0	11	0	0	0	0	5	0	5	0	49	65	158	17	2	0	29	0	0	0	0	1350	17	0	0	0	0	0	0	12	1	994	108012	6142	12311	56611	5	34	0	332	0	6	31	75998	2034	728	181180	1	0	0	389	0	6	1036	1	26	0	0	0	0	0	0	2	0	0	0	0	18	0	0	1	759	0	0	0	0	0	0	0	0	0	0	0	60	71	0	0	1	0	15	1	0	0	2	0	445	20002	1673	180	26	10	4	218	19	1	2	225	40	91	9	4	83	117	20	3426	2	178	335	59	171	0	10	130	6	0	87	9	7	119	218	40	38171	443	0	7	1	255	1	1296	56	29	424	25	248	14	25	0	4	409	9	3	7	574	3431	72	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	196	0	0	132	103	0	0	0	0	0	0	12773	43783	327	10	0	2	0	0	2	10	0	0	36678	39699	652	26	62	0	23	427	29432	3886	81946	241095	0
NS30	35	0	0	2	543	0	2	0	0	0	56	9	0	128	57	58	72	6	61	25	1	10	6	10	3	1	0	9	0	0	0	0	0	344	0	66	0	247	30	4	6494	9	117	0	13	5	4065	0	41	0	187373	26	30	11	39	4	7	3	831	210833	22	0	0	1	1	15	112	1	0	0	0	3	0	1	4	213	0	0	0	0	6	49846	257	57	0	48	106	26079	1	3	55	2401	18	163682	85	716	95	51	67	13	0	15419	0	183	155	1013	1294	18584	208	0	1	26	617741	2585	0	635	29500	7749	0	56	0	0	1	5812	3207	6	3	0	0	0	354	7694	4184	132	334216	18912	1743	367	4905	71329	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	4	1	44	59	48	0	0	0	0	1185	44	0	0	3	1575	0	20	1	0	0	0	1	0	0	0	1	0	0	0	7	325	9	0	0	6	4	43300	2	1	0	0	0	0	4	329	10	168	11	236	3	0	45	1	0	0	4	2	7	6	0	0	643	6	0	43	0	0	0	1009	9	0	0	0	14	74380	0	3825	0	2	1	17	2609	4	12231	0	12	74429	30939	3709	6685	5	6	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	63	2	0	0	45	0	0	12	3	430	4315	59	19325	0	0	0	2	0	19225	4783	0	0	5	1	106	15088	0	0	9	0	5052	11	377171	55	5	0	74	589	188	7009	79	20	307	984	921968	22	2069	2685	24	0	391	50	2605	258	0	0	0	0	32	2	4	1	0	0	0	219	22	77	4	0	0	0	7	2860	261	0	52	89	0	0	0	4	0	0	0	0	0	1	0	3	4	0	0	162	0	1805	162	4	0	0	0	22	0	0	286	261	272	10	1721	8454	8495	29	112	1	2	0	0	8	41	0	3	2	0	0	324	0	285	0	4	0	33	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1523	481	2	0	0	0	0	0	1426	21437	0	80	0	0	0	1427	39	0	34	1	0	0	9	0	1	4	26	0	3	0	0	0	0	1943	1	93	2	4057	0	1	22	0	3	1193	0	0	11	31	584	1	0	0	0	1	0	0	2	0	5	0	110	0	60	0	92	0	62	1	0	416	10995	0	0	0	0	60	0	765	1	1	762	482	16	16	55	0	3	71	152	1	6	0	0	163	0	64	0	2	1	21	16	17	17	1945	11	47418	32	4	0	0	0	1	0	33	3598	1	0	1	0	0	2	12	3	19	0	1	0	0	0	3	0	0	0	0	0	0	4	699	0	0	11	0	0	1	0	580	30	0	0	0	0	0	0	0	0	51	6007	360	78957	1271539	10	5	0	15	0	0	5	1348	5	18	1852	0	0	17	118	3	7	385	0	9	0	0	0	0	0	0	1	38	5	260	0	0	0	0	0	671	0	0	0	0	0	0	0	0	0	0	1	52	1	0	0	1	0	0	0	1	0	0	0	49	9922	15	147	74	9	21	11	28	15	11	53	27	21	0	1	85	16	32	122	3	593	566	119	451	0	0	168	0	3	262	0	57	4	79	6	8630	318	0	28	0	53	0	565	108	184	159	52	36	2	184	0	9	15	13	5	29	119	6373	18	0	3	5	0	0	11	0	2	0	0	0	0	0	15	0	4	0	438	0	1	256	10	0	0	5	0	2	0	10	143	0	595	1	0	57	10	10	350	0	11	1055	2382	0	87	0	0	0	92	10258	6899	145266	823612	0
