#Classification	NS4_bracken_P.kreport
k__Bacteria	11485002
k__Bacteria|p__Bacteroidetes	5677966
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Firmicutes	4718898
k__Bacteria|p__Actinobacteria	800187
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Proteobacteria	286507
k__Bacteria|p__Spirochaetes	662
k__Bacteria|p__Verrucomicrobia	480
k__Bacteria|p__Fusobacteria	227
k__Bacteria|p__Candidatus_Saccharibacteria	65
k__Eukaryota	664
k__Eukaryota|k__Metazoa	613
k__Eukaryota|k__Metazoa|p__Chordata	613
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	47
k__Eukaryota|k__Viridiplantae|p__Streptophyta	47
k__Eukaryota|p__Apicomplexa	3
k__Archaea	11
k__Archaea|p__Euryarchaeota	11
k__Viruses	4991
k__Viruses|k__Heunggongvirae	4928
k__Viruses|k__Heunggongvirae|p__Uroviricota	4928
k__Viruses|k__Sangervirae	63
k__Viruses|k__Sangervirae|p__Phixviricota	63
