#Classification	GQ44_bracken_P.kreport
k__Bacteria	14573019
k__Bacteria|p__Firmicutes	5882069
k__Bacteria|p__Actinobacteria	3377481
k__Bacteria|p__Bacteroidetes	3869250
k__Bacteria|p__Verrucomicrobia	1345492
k__Bacteria|p__Proteobacteria	98171
k__Bacteria|p__Spirochaetes	522
k__Bacteria|p__Synergistetes	28
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Archaea	845643
k__Archaea|p__Euryarchaeota	845643
k__Eukaryota	60
k__Eukaryota|k__Viridiplantae	57
k__Eukaryota|k__Viridiplantae|p__Streptophyta	57
k__Eukaryota|k__Metazoa	2
k__Eukaryota|k__Metazoa|p__Chordata	2
k__Viruses	447
k__Viruses|k__Heunggongvirae	446
k__Viruses|k__Heunggongvirae|p__Uroviricota	446
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
