#Classification	SRR5091528_bracken_O.kreport
k__Bacteria	9461038
k__Bacteria|p__Bacteroidetes	8092316
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	8092296
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	8092296
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	17
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	17
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	3
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	3
k__Bacteria|p__Firmicutes	1080559
k__Bacteria|p__Firmicutes|c__Clostridia	1047307
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1047307
k__Bacteria|p__Firmicutes|c__Negativicutes	17748
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	15319
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1411
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1017
k__Bacteria|p__Firmicutes|c__Bacilli	13162
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10655
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2506
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2331
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2331
k__Bacteria|p__Firmicutes|c__Tissierellia	10
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	10
k__Bacteria|p__Actinobacteria	231152
k__Bacteria|p__Actinobacteria|c__Actinomycetia	196655
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	193782
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1401
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1093
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	365
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	12
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	34497
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	33877
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	619
k__Bacteria|p__Proteobacteria	54117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	32376
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	29011
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2282
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	567
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	100
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	33
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	380
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	12859
