#Classification	S-25-POLJUN-B_bracken_P.kreport
k__Bacteria	990750
k__Bacteria|p__Actinobacteria	240351
k__Bacteria|p__Cyanobacteria	202669
k__Bacteria|p__Chloroflexi	107
k__Bacteria|p__Firmicutes	2536
k__Bacteria|p__Armatimonadetes	74
k__Bacteria|p__Deinococcus-Thermus	17
k__Bacteria|p__Tenericutes	10
k__Bacteria|p__Proteobacteria	501870
k__Bacteria|p__Acidobacteria	21774
k__Bacteria|p__Bacteroidetes	14253
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Gemmatimonadetes	55
k__Bacteria|p__Planctomycetes	6263
k__Bacteria|p__Verrucomicrobia	692
k__Bacteria|p__Chlamydiae	41
k__Bacteria|p__Candidatus_Saccharibacteria	21
k__Bacteria|p__Spirochaetes	2
k__Bacteria|p__Nitrospirae	3
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Thermotogae	1
k__Eukaryota	8669
k__Eukaryota|k__Metazoa	2873
k__Eukaryota|k__Metazoa|p__Chordata	2873
k__Eukaryota|k__Fungi	2412
k__Eukaryota|k__Fungi|p__Ascomycota	2197
k__Eukaryota|k__Fungi|p__Basidiomycota	214
k__Eukaryota|k__Viridiplantae	3366
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3262
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	103
k__Eukaryota|p__Apicomplexa	3
k__Eukaryota|p__Bacillariophyta	3
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Evosea	7
k__Eukaryota|p__Euglenozoa	1
k__Archaea	19
k__Archaea|p__Euryarchaeota	19
k__Viruses	8
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
