#Classification	GQ38_bracken_P.kreport
k__Bacteria	13027735
k__Bacteria|p__Firmicutes	7761934
k__Bacteria|p__Actinobacteria	514156
k__Bacteria|p__Bacteroidetes	4571519
k__Bacteria|p__Proteobacteria	179929
k__Bacteria|p__Spirochaetes	123
k__Bacteria|p__Candidatus_Saccharibacteria	31
k__Bacteria|p__Verrucomicrobia	31
k__Bacteria|p__Synergistetes	5
k__Bacteria|p__Fusobacteria	2
k__Eukaryota	191
k__Eukaryota|k__Fungi	155
k__Eukaryota|k__Fungi|p__Ascomycota	155
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
k__Viruses	1230
k__Viruses|k__Heunggongvirae	1230
k__Viruses|k__Heunggongvirae|p__Uroviricota	1230
