#Classification	S-25-POLJUN-G_bracken_O.kreport
k__Bacteria	402652
k__Bacteria|p__Proteobacteria	277020
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	181247
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	109652
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	61643
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	6750
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1944
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1182
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	74022
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	69163
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2335
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1447
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1075
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	20886
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6314
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	4013
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	7283
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	302
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	315
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	473
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	66
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	41
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1167
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	31
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	28
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	757
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	9
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	835
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	656
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	94
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	32
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	4
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	26
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	4
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	16
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	15
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	15
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	6
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	6
k__Bacteria|p__Proteobacteria|c__Oligoflexia	3
