#Classification	S-1-POLJUN-G_bracken_C.kreport
k__Bacteria	1470
k__Bacteria|p__Proteobacteria	1467
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1314
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	138
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	15
k__Bacteria|p__Acidobacteria	2
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2
k__Bacteria|p__Bacteroidetes	1
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
