#Classification	S-5-DICUND-B_bracken_P.kreport
k__Bacteria	11781
k__Bacteria|p__Proteobacteria	7252
k__Bacteria|p__Actinobacteria	4022
k__Bacteria|p__Cyanobacteria	275
k__Bacteria|p__Acidobacteria	201
k__Bacteria|p__Bacteroidetes	17
k__Bacteria|p__Planctomycetes	10
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	462
k__Eukaryota|k__Viridiplantae	279
k__Eukaryota|k__Viridiplantae|p__Streptophyta	279
k__Eukaryota|k__Metazoa	147
k__Eukaryota|k__Metazoa|p__Chordata	147
k__Eukaryota|k__Fungi	36
k__Eukaryota|k__Fungi|p__Ascomycota	36
