feature	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Akkermansiaceae	Anaerofustaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	CAG.138	CAG.272	CAG.274	CAG.382	CAG.508	CAG.74	Campylobacteraceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Dialisteraceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	GCA.900066905	Gemellaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Megasphaeraceae	Monoglobaceae	Muribaculaceae	Nanosynbacteraceae	Oscillospiraceae	P3	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	QALW01	QAND01	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Tannerellaceae	Turicibacteraceae	UBA1255	UBA1381	UBA644	UBA660	UMGS124	UMGS1783	Veillonellaceae	Xanthobacteraceae
NS7	290	562	12836	0	0	176	357	0	87984	0	0	80802	1284	1107	104	0	0	0	0	1124	0	0	1984	741	24653	305	3411	1162	183	469	0	0	51	262845	22229	750	8126	0	0	39	12267	0	223	0	0	72251	0	0	0	0	11257	152720	1499	0	4090	750	3287	0	1338	0	0	0	0	1218	0
NS70	418	46	36461	0	0	0	791	0	96452	0	0	30733	1224	3236	0	0	0	0	0	235	0	0	6698	9688	18206	0	0	1369	0	298	0	0	0	454376	46	1872	0	0	0	0	4583	0	0	0	0	3105	0	0	0	799	207	89058	0	0	9831	930	925	0	2045	0	0	138	0	564	108
NS71	2829	188	74463	37368	540	0	5119	0	44642	0	174	67310	3791	451	7998	422	0	392	69	26717	0	1218	20518	22750	16842	82	0	5356	0	7938	398	67	0	284960	161	1507	0	1916	0	0	60640	0	0	0	0	32315	0	0	569	0	1600	32391	0	0	2661	1295	3162	283	0	49	1296	0	122	0	0
NS72	0	1828	47855	981	0	0	5231	2541	4372	0	0	115305	521	173	0	0	401	0	446	0	0	0	47707	12641	32592	0	1515	3326	0	11135	369	0	111	361174	35670	0	2499	50	0	167	2219	0	0	0	0	1820	0	0	0	27	0	41489	5034	38	11025	86	159	0	4999	0	18739	0	0	197	0
NS77	14728	0	22270	0	0	12146	1991	0	266566	1834	0	4222	3291	2142	0	0	0	0	0	1256	0	150	0	2695	6416	697	0	303	17518	1486	0	0	0	224339	0	4151	0	0	0	0	45014	0	0	0	0	190	0	0	0	0	11329	111918	0	0	1637	15308	0	0	0	0	0	0	0	877	0
NS78	0	0	44678	0	0	0	839	1296	7222	0	0	45829	775	2540	179	225	0	0	23495	2371	0	0	1673	38177	16440	0	6297	2218	0	52871	0	0	0	408203	493	330	0	0	0	0	9301	0	0	1144	0	15188	0	0	200	395	505	52518	0	0	15302	299	717	0	2740	109	19398	404	0	0	51
NS79	2220	0	40230	0	0	1370	448	0	41868	0	0	75834	2070	1667	0	0	7027	0	0	951	0	0	898	9280	13302	160	0	1290	0	157	0	0	0	389026	0	832	0	0	0	0	7905	86	0	0	0	495	0	0	0	775	3646	137504	0	0	491	453	0	0	1838	0	31642	0	0	281	113
NS81	0	77	42178	184	0	0	1449	0	1053	0	0	22557	2269	819	0	0	431	0	147	0	0	0	2900	9542	0	0	2198	2859	82	2770	0	0	0	501719	234	0	227	2165	0	0	4770	0	0	0	0	36244	0	0	0	1437	120	128336	0	0	3908	149	1040	0	1682	0	133	0	0	0	219
NS83	3986	239	38953	2625	0	707	1732	0	28840	246	194	19709	1277	836	1316	155	0	0	0	3377	0	714	1084	9094	32802	247	0	4667	865	31630	0	0	46	352711	2720	942	0	0	0	0	39061	0	0	0	0	15497	0	0	53	92	2966	155774	0	0	9831	2095	970	0	4471	155	999	223	0	161	0
NS86	0	68	32672	0	0	202	284	352	8714	0	173	26389	969	4292	0	230	0	0	1860	1531	0	0	1307	3172	5255	0	3907	351	272	2311	0	0	0	449609	2162	311	2421	0	0	0	18963	0	254	0	0	6299	0	0	0	70	1908	189954	0	107	6910	288	0	0	728	0	179	0	0	0	0
NS9	3426	0	91090	0	80	4948	2336	0	152254	0	6307	769	1810	2257	0	0	0	0	0	1181	0	256	199	3362	4763	1279	0	904	256	1764	0	0	0	281942	51	9740	0	0	299	0	34600	0	0	0	0	2068	0	30	154	0	47330	99530	0	0	2240	15491	0	0	834	316	0	111	189	0	0
