feature	Agathobaculum.butyriciproducens	Akkermansia.muciniphila	Alistipes.finegoldii	Alistipes.putredinis	Alistipes.shahii	Anaerobutyricum.hallii	Anaerobutyricum.soehngenii	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.bifidum	Bifidobacterium.catenulatum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Blautia.faecis	Blautia.massiliensis	Blautia.obeum	Blautia.wexlerae	Catenibacterium.SGB4425	Catenibacterium.tridentinum	Cibionibacter.quicibialis	Clostridiaceae.bacterium	Clostridiaceae.bacterium.AF18.31LB	Clostridiales.bacterium.KLE1615	Clostridium.fessum	Clostridium.sp.AF34.10BH	Clostridium.sp.AM22.11AC	Collinsella.SGB14861	Collinsella.SGB4121	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dialister.invisus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.SGB6276	Eubacterium.ramulus	Eubacterium.rectale	Faecalibacillus.intestinalis	Faecalibacterium.SGB15346	Faecalibacterium.prausnitzii	Firmicutes.bacterium.AF16.15	Fusicatenibacter.saccharivorans	GGB3304.SGB4367	GGB51647.SGB4348	GGB80011.SGB15265	GGB9760.SGB15373	Gemmiger.formicilis	Intestinibacter.bartlettii	Lachnospiraceae.bacterium.Marseille.Q4251	Lacrimispora.celerecrescens	Ligilactobacillus.ruminis	Parabacteroides.merdae	Phascolarctobacterium.faecium	Phocaeicola.vulgatus	Prevotella.copri.clade	Romboutsia.timonensis	Roseburia.faecis	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Ruthenibacterium.lactatiformans	Streptococcus.salivarius	Streptococcus.thermophilus
NS28	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0.0277777777777778	0.0277777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0277777777777778	0	0.0277777777777778	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.694444444444444	0	0	0	0	0	0	0	0	0	0	0	0
NS38	0	0.152173913043478	0.0217391304347826	0.0434782608695652	0	0	0.0217391304347826	0.0217391304347826	0.0869565217391304	0	0	0.0217391304347826	0.0217391304347826	0	0.0434782608695652	0	0.0652173913043478	0	0	0.0217391304347826	0	0	0	0	0.0217391304347826	0.0217391304347826	0	0	0	0	0	0	0	0.0434782608695652	0	0.0217391304347826	0	0	0	0.0217391304347826	0	0.0217391304347826	0	0.0217391304347826	0.0652173913043478	0.0217391304347826	0.0217391304347826	0.108695652173913	0	0	0	0	0	0	0	0.0217391304347826	0.0217391304347826	0	0.0217391304347826	0	0	0	0	0	0	0	0	0	0	0.0217391304347826	0	0
NS46	0	0	0	0	0	0.0222222222222222	0	0.0222222222222222	0	0	0.0666666666666667	0	0	0	0	0	0.0444444444444444	0	0	0	0	0.111111111111111	0	0	0.2	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0.0444444444444444	0	0.0222222222222222	0.0222222222222222	0	0.0444444444444444	0	0	0.0444444444444444	0	0	0.0666666666666667	0.111111111111111	0.0222222222222222	0	0	0	0	0	0	0	0	0.0444444444444444	0	0	0	0	0	0	0	0.0444444444444444	0	0.0444444444444444	0	0	0
NS62	0	0.0175438596491228	0	0	0.0175438596491228	0.0350877192982456	0	0.140350877192982	0	0	0	0	0	0	0	0	0	0.0350877192982456	0.0175438596491228	0	0.0526315789473684	0.0526315789473684	0	0	0.0350877192982456	0	0	0	0	0.0175438596491228	0	0	0	0	0.0350877192982456	0.0526315789473684	0	0.0350877192982456	0.087719298245614	0	0	0.0350877192982456	0	0	0.0175438596491228	0	0.0175438596491228	0	0	0	0	0	0	0.0175438596491228	0.0350877192982456	0	0	0	0	0	0	0	0	0	0	0	0.228070175438596	0	0	0	0.0175438596491228	0
NS71	0	0.0681818181818182	0	0	0	0.0227272727272727	0.0227272727272727	0.159090909090909	0.0454545454545455	0	0	0	0	0	0.0227272727272727	0	0.159090909090909	0	0	0	0.0681818181818182	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227272727272727	0	0	0	0.0227272727272727	0	0	0	0	0.0227272727272727	0.0227272727272727	0	0	0	0	0	0	0.0227272727272727	0.159090909090909	0	0	0.0227272727272727	0.0227272727272727	0
NS83	0	0	0	0	0	0.0444444444444444	0	0.0444444444444444	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0.0222222222222222	0	0.155555555555556	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0.0222222222222222	0	0	0.0222222222222222	0	0	0.177777777777778	0	0.0444444444444444	0.0666666666666667	0	0.0222222222222222	0.0222222222222222	0.0222222222222222	0	0	0	0.0222222222222222	0	0	0.0222222222222222	0.0444444444444444	0	0	0	0	0	0.111111111111111	0	0	0.0444444444444444	0	0	0
NS9	0	0	0.0384615384615385	0.0192307692307692	0	0.0384615384615385	0.0192307692307692	0	0	0	0	0.0192307692307692	0	0	0	0	0	0	0.0192307692307692	0	0.0384615384615385	0.0769230769230769	0.0384615384615385	0	0.0576923076923077	0.0192307692307692	0	0	0	0	0	0	0	0.0192307692307692	0	0	0	0	0.0192307692307692	0	0	0.0384615384615385	0	0	0.115384615384615	0	0.0384615384615385	0	0.269230769230769	0	0.0192307692307692	0	0	0	0	0	0.0192307692307692	0.0192307692307692	0	0	0.0192307692307692	0	0	0	0	0	0.0384615384615385	0	0	0	0	0
NS11	0.0208333333333333	0	0	0	0	0	0	0.0208333333333333	0.0625	0.0208333333333333	0.125	0	0.0416666666666667	0	0	0	0	0	0	0	0	0.0208333333333333	0	0.0208333333333333	0.0208333333333333	0	0.0208333333333333	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0	0	0.0416666666666667	0.0208333333333333	0	0.0833333333333333	0	0.0208333333333333	0	0	0	0	0	0	0.0208333333333333	0	0.125	0.229166666666667	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0
NS32	0	0	0	0	0.025	0.025	0	0	0	0.025	0	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0.15	0.075	0	0	0.05	0	0	0	0	0.25	0.025	0.025	0	0.1	0	0	0	0	0	0	0	0	0	0.025	0.125	0	0	0	0	0	0	0.025	0	0	0	0	0
NS34	0	0	0	0	0	0	0	0	0.346153846153846	0.0384615384615385	0	0	0	0	0	0	0.0384615384615385	0	0	0	0	0	0	0	0.0384615384615385	0	0	0	0	0.0384615384615385	0	0.0384615384615385	0.0384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0	0.0384615384615385	0	0	0	0.0384615384615385	0.0384615384615385	0	0	0	0	0.0384615384615385	0	0	0	0	0.192307692307692	0	0.0384615384615385	0	0
