feature	Agathobaculum.butyriciproducens	Akkermansia.muciniphila	Alistipes.finegoldii	Alistipes.putredinis	Alistipes.shahii	Anaerobutyricum.hallii	Anaerobutyricum.soehngenii	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.bifidum	Bifidobacterium.catenulatum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Blautia.faecis	Blautia.massiliensis	Blautia.obeum	Blautia.wexlerae	Catenibacterium.SGB4425	Catenibacterium.tridentinum	Cibionibacter.quicibialis	Clostridiaceae.bacterium	Clostridiaceae.bacterium.AF18.31LB	Clostridiales.bacterium.KLE1615	Clostridium.fessum	Clostridium.sp.AF34.10BH	Clostridium.sp.AM22.11AC	Collinsella.SGB14861	Collinsella.SGB4121	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dialister.invisus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.SGB6276	Eubacterium.ramulus	Eubacterium.rectale	Faecalibacillus.intestinalis	Faecalibacterium.SGB15346	Faecalibacterium.prausnitzii	Firmicutes.bacterium.AF16.15	Fusicatenibacter.saccharivorans	GGB3304.SGB4367	GGB51647.SGB4348	GGB80011.SGB15265	GGB9760.SGB15373	Gemmiger.formicilis	Intestinibacter.bartlettii	Lachnospiraceae.bacterium.Marseille.Q4251	Lacrimispora.celerecrescens	Ligilactobacillus.ruminis	Parabacteroides.merdae	Phascolarctobacterium.faecium	Phocaeicola.vulgatus	Prevotella.copri.clade	Romboutsia.timonensis	Roseburia.faecis	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Ruthenibacterium.lactatiformans	Streptococcus.salivarius	Streptococcus.thermophilus
NS28	0	0.292842771728575	0	0	0	0	0	0	0	0	0	0.167448079219689	0.167448079219689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167448079219689	0	0.167448079219689	0	0	0	0	0	0	0	0.237941124830208	0	0	0	0	0.237941124830208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.985110783337746	0	0	0	0	0	0	0	0	0	0	0	0
NS38	0	0.400734491635875	0.147981460748784	0.210055739071239	0	0	0.147981460748784	0.147981460748784	0.299334026417771	0	0	0.147981460748784	0.147981460748784	0	0.210055739071239	0	0.258237570423438	0	0	0.147981460748784	0	0	0	0	0.147981460748784	0.147981460748784	0	0	0	0	0	0	0	0.210055739071239	0	0.147981460748784	0	0	0	0.147981460748784	0	0.147981460748784	0	0.147981460748784	0.258237570423438	0.147981460748784	0.147981460748784	0.335975448247957	0	0	0	0	0	0	0	0.147981460748784	0.147981460748784	0	0.147981460748784	0	0	0	0	0	0	0	0	0	0	0.147981460748784	0	0
NS46	0	0	0	0	0	0.149628909359517	0	0.149628909359517	0	0	0.261157410903024	0	0	0	0	0	0.212412213739444	0	0	0	0	0.339836909454122	0	0	0.463647609000806	0	0	0	0	0	0	0.149628909359517	0	0	0	0	0.212412213739444	0	0.149628909359517	0.149628909359517	0	0.212412213739444	0	0	0.212412213739444	0	0	0.261157410903024	0.339836909454122	0.149628909359517	0	0	0	0	0	0	0	0	0.212412213739444	0	0	0	0	0	0	0	0.212412213739444	0	0.212412213739444	0	0	0
NS62	0	0.132843615738865	0	0	0.132843615738865	0.188430250549544	0	0.384002344700209	0	0	0	0	0	0	0	0	0	0.188430250549544	0.132843615738865	0	0.231477363970178	0.231477363970178	0	0	0.188430250549544	0	0	0	0	0.132843615738865	0	0	0	0	0.188430250549544	0.231477363970178	0	0.188430250549544	0.300684891226831	0	0	0.188430250549544	0	0	0.132843615738865	0	0.132843615738865	0	0	0	0	0	0	0.132843615738865	0.188430250549544	0	0	0	0	0	0	0	0	0	0	0	0.497883352323934	0	0	0	0.132843615738865	0
NS71	0	0.264178632145125	0	0	0	0.151332636977216	0.151332636977216	0.410275541404188	0.214849833075712	0	0	0	0	0	0.151332636977216	0	0.410275541404188	0	0	0	0.264178632145125	0	0	0	0	0	0	0	0	0	0	0.306277369169669	0	0.151332636977216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151332636977216	0	0	0	0.151332636977216	0	0	0	0	0.151332636977216	0.151332636977216	0	0	0	0	0	0	0.151332636977216	0.410275541404188	0	0	0.151332636977216	0.151332636977216	0
NS83	0	0	0	0	0	0.212412213739444	0	0.212412213739444	0	0	0	0	0	0.149628909359517	0	0	0	0	0	0.149628909359517	0	0.405420620564526	0	0	0	0	0	0	0	0	0	0	0	0.261157410903024	0	0	0	0	0.149628909359517	0	0	0.149628909359517	0	0	0.435249906976965	0	0.212412213739444	0.261157410903024	0	0.149628909359517	0.149628909359517	0.149628909359517	0	0	0	0.149628909359517	0	0	0.149628909359517	0.212412213739444	0	0	0	0	0	0.339836909454122	0	0	0.212412213739444	0	0	0
NS9	0	0	0.197395559849881	0.139123411367399	0	0.197395559849881	0.139123411367399	0	0	0	0	0.139123411367399	0	0	0	0	0	0	0.139123411367399	0	0.197395559849881	0.281034901502814	0.197395559849881	0	0.242563874095485	0.139123411367399	0	0	0	0	0	0	0	0.139123411367399	0	0	0	0	0.139123411367399	0	0	0.197395559849881	0	0	0.346579953788377	0	0.197395559849881	0	0.545533844559572	0	0.139123411367399	0	0	0	0	0	0.139123411367399	0.139123411367399	0	0	0.139123411367399	0	0	0	0	0	0.197395559849881	0	0	0	0	0
NS11	0.14484349699856	0	0	0	0	0	0	0.14484349699856	0.252680255142079	0.14484349699856	0.361367123906708	0	0.205568931161174	0	0	0	0	0	0	0	0	0.14484349699856	0	0.14484349699856	0.14484349699856	0	0.14484349699856	0	0	0	0.14484349699856	0	0	0	0	0	0	0	0	0	0	0.205568931161174	0	0	0.205568931161174	0.14484349699856	0	0.292842771728575	0	0.14484349699856	0	0	0	0	0	0	0.14484349699856	0	0.361367123906708	0.499188877351038	0	0	0	0	0	0	0	0	0.14484349699856	0	0	0
NS32	0	0	0	0	0.158780214645761	0.158780214645761	0	0	0	0.158780214645761	0	0	0.158780214645761	0.158780214645761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158780214645761	0	0	0	0.397699415092072	0.277405516490036	0	0	0.225513405898131	0	0	0	0	0.523598775598299	0.158780214645761	0.158780214645761	0	0.321750554396642	0	0	0	0	0	0	0	0	0	0.158780214645761	0.361367123906708	0	0	0	0	0	0	0.158780214645761	0	0	0	0	0
NS34	0	0	0	0	0	0	0	0	0.629014802426676	0.197395559849881	0	0	0	0	0	0	0.197395559849881	0	0	0	0	0	0	0	0.197395559849881	0	0	0	0	0.197395559849881	0	0.197395559849881	0.197395559849881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197395559849881	0	0.197395559849881	0	0	0	0.197395559849881	0.197395559849881	0	0	0	0	0.197395559849881	0	0	0	0	0.45396125157238	0	0.197395559849881	0	0
