#Classification	NS9_bracken_P.kreport
k__Bacteria	2152643
k__Bacteria|p__Firmicutes	1487213
k__Bacteria|p__Actinobacteria	7162
k__Bacteria|p__Bacteroidetes	604645
k__Bacteria|p__Proteobacteria	53581
k__Bacteria|p__Verrucomicrobia	37
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Archaea	56543
k__Archaea|p__Euryarchaeota	56543
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	142
k__Viruses|k__Heunggongvirae	142
k__Viruses|k__Heunggongvirae|p__Uroviricota	142
