feature	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Akkermansiaceae	Anaerofustaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Borkfalkiaceae	Burkholderiaceae	Butyricicoccaceae	CAG.138	CAG.272	CAG.274	CAG.382	CAG.508	CAG.74	Campylobacteraceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Dialisteraceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	GCA.900066905	Gemellaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Megasphaeraceae	Micrococcaceae	Monoglobaceae	Mycobacteriaceae	Nanosynbacteraceae	Oscillospiraceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Pseudomonadaceae	QALW01	QAND01	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Tannerellaceae	Turicibacteraceae	UBA1255	UBA1381	UBA644	UBA660	UMGS124	UMGS1783	Veillonellaceae	Xanthobacteraceae
NS70	903	86	71735	0	0	0	1835	0	206528	0	218	67670	0	2426	7562	966	0	0	0	0	569	0	0	13142	27426	31649	57	0	3325	0	685	0	0	0	1053846	93	0	0	72	0	0	0	7349	0	0	0	7327	0	0	0	0	1693	362	214130	0	0	23393	2475	2103	0	5822	0	0	247	0	137	198
NS71	7471	375	153006	60983	908	0	9657	0	86687	0	1408	132162	0	791	817	22006	511	0	762	560	52816	0	1873	37167	34434	25004	90	74	11767	0	20521	865	200	0	604625	318	229	346	0	3047	0	0	157349	0	0	0	67883	0	0	0	1136	0	4717	76016	0	0	8146	2869	6175	540	0	117	0	0	173	0	0
NS72	0	3737	144092	2502	0	0	10398	4805	26529	0	0	270515	0	114	472	1015	0	709	0	1093	0	0	0	84809	34771	53005	0	2533	6631	0	22425	553	0	252	845352	124220	0	4873	0	65	0	282	712	0	52	0	4363	0	0	0	0	91	223	106229	13351	118	26121	3985	288	0	13888	0	12407	0	0	0	0
NS77	27996	0	41895	0	0	26957	4271	0	487628	2987	909	7529	0	4975	4495	3972	0	0	0	0	3235	0	239	0	5574	8992	1302	0	650	47868	3512	0	0	0	433100	0	3709	0	56	0	0	0	96816	0	0	0	2226	0	0	0	0	0	24242	219474	0	0	3099	30921	0	0	0	0	0	0	0	147	0
NS78	0	0	72352	0	0	0	1093	2298	11486	0	464	64411	60	604	3641	1409	369	0	0	30014	4230	0	0	2155	51780	18058	0	8405	2864	0	69414	0	0	0	581109	1045	63	0	0	0	0	0	12139	0	2219	0	32365	0	0	0	222	532	2290	74858	0	0	24744	644	882	0	5499	182	26054	524	0	0	63
NS79	4796	0	68454	0	0	2408	753	0	71166	0	410	134232	0	3291	3506	1697	0	11078	0	0	2667	0	0	1360	20265	17357	233	0	2245	0	579	0	0	0	741597	0	441	0	0	0	0	0	8090	0	0	0	1495	0	0	0	0	1297	45988	255752	0	0	1023	1092	0	0	4814	0	0	0	0	0	170
NS81	0	126	72135	313	0	0	1618	0	30299	0	144	37246	0	3167	2313	1176	0	674	0	0	0	0	0	4132	19030	0	0	4624	4681	95	8530	0	0	0	822764	307	0	766	0	3141	0	0	5010	0	0	0	57151	0	0	0	0	2252	372	242164	0	0	6747	365	1505	0	3979	0	0	0	0	362	302
NS83	7868	398	84479	5355	0	1595	3410	0	54252	459	946	37199	0	929	1816	7649	229	0	0	0	6994	0	1059	1874	18725	50359	468	0	7915	1630	78773	0	0	75	697783	8502	514	0	0	0	0	0	80757	53	0	0	30745	0	0	0	89	210	5500	292935	0	0	21893	3532	1855	0	11672	265	0	353	0	0	0
NS86	0	118	66163	0	0	167	415	1178	15844	0	708	44016	0	961	9361	3963	426	0	0	3661	2991	0	0	2092	6724	6419	0	6341	497	567	3727	0	0	69	771809	6660	0	4553	65	0	0	0	32126	300	0	0	11069	0	0	0	0	106	2942	364303	0	270	13938	471	0	0	1822	0	360	0	0	0	0
NS9	6363	0	164919	51	104	10393	3314	0	295646	0	14032	1510	84	262	4456	4953	0	0	0	0	2135	0	523	393	5961	7154	4048	0	1724	835	3157	0	0	0	587169	114	13901	0	0	0	0	0	59650	0	0	0	4473	0	0	73	435	0	90821	211183	0	0	4831	36481	0	0	1919	651	0	177	261	0	0
