#Classification	S-8-POLJUN-G_bracken_P.kreport
k__Bacteria	44903
k__Bacteria|p__Proteobacteria	43175
k__Bacteria|p__Actinobacteria	1022
k__Bacteria|p__Cyanobacteria	165
k__Bacteria|p__Bacteroidetes	391
k__Bacteria|p__Acidobacteria	142
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	2265
k__Eukaryota|k__Viridiplantae	1986
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1986
k__Eukaryota|k__Metazoa	260
k__Eukaryota|k__Metazoa|p__Chordata	260
k__Eukaryota|k__Fungi	18
k__Eukaryota|k__Fungi|p__Basidiomycota	13
k__Eukaryota|k__Fungi|p__Ascomycota	5
