feature	Abiotrophia.defectiva	Acidaminococcus.intestini	Acinetobacter.junii	Actinomyces.naeslundii	Actinomyces.oris	Actinomyces.pacaensis	Actinomyces.sp..HMT.175	Actinomyces.sp..oral.taxon.169	Actinomyces.sp..oral.taxon.171	Actinomyces.sp..oral.taxon.414	Actinomyces.sp..oral.taxon.897	Acutalibacter.muris	Adlercreutzia.equolifaciens	Adlercreutzia.hattorii	Aggregatibacter.aphrophilus	Akkermansia.muciniphila	Alistipes.communis	Alistipes.dispar	Alistipes.finegoldii	Alistipes.indistinctus	Alistipes.megaguti	Alistipes.onderdonkii	Alistipes.senegalensis	Alistipes.shahii	Alistipes.sp..dk3624	Alkalihalobacillus.clausii	Amedibacterium.intestinale	Aminipila.luticellarii	Anaerobutyricum.hallii	Anaerococcus.mediterraneensis	Anaerococcus.obesiensis	Anaerococcus.vaginalis	Anaerostipes.caccae	Anaerostipes.hadrus	Anaerostipes.rhamnosivorans	Anaerotignum.propionicum	Arachnia.propionica	Arachnia.rubra	Bacillus.paralicheniformis	Bacteroides.caccae	Bacteroides.caecimuris	Bacteroides.cellulosilyticus	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.fragilis	Bacteroides.helcogenes	Bacteroides.heparinolyticus	Bacteroides.intestinalis	Bacteroides.luhongzhouii	Bacteroides.nordii	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.sp..A1C1	Bacteroides.sp..CACC.737	Bacteroides.sp..CBA7301	Bacteroides.sp..HF.162	Bacteroides.sp..KGMB07931	Bacteroides.sp..KGMB10229	Bacteroides.sp..M10	Bacteroides.sp..ZJ.18	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.xylanisolvens	Bacteroides.zhangwenhongi	Bacteroides.zoogleoformans	Barnesiella.viscericola	Berryella.intestinalis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.animalis	Bifidobacterium.bifidum	Bifidobacterium.breve	Bifidobacterium.catenulatum	Bifidobacterium.dentium	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Bifidobacterium.pullorum	Bifidobacterium.scardovii	Bifidobacterium.subtile	Bifidobacterium.thermophilum	Blautia.argi	Blautia.hansenii	Blautia.liquoris	Blautia.massiliensis	Blautia.obeum	Blautia.producta	Blautia.pseudococcoides	Blautia.sp..NBRC.113351	Blautia.sp..SC05B48	Bradyrhizobium.betae	Bradyrhizobium.sp..BTAi1	Butyricicoccus.sp..GAM44	Butyricimonas.faecalis	Butyricimonas.virosa	Butyrivibrio.fibrisolvens	Butyrivibrio.proteoclasticus	Campylobacter.coli	Campylobacter.concisus	Campylobacter.hominis	Campylobacter.jejuni	Campylobacter.rectus	Campylobacter.ureolyticus	Carnobacterium.divergens	Christensenella.minuta	Christensenella.sp..Marseille.P3954	Cloacibacillus.porcorum	Cloacibacterium.caeni	Clostridioides.difficile	Clostridium.bornimense	Clostridium.cadaveris	Clostridium.chauvoei	Clostridium.perfringens	Clostridium.septicum	Clostridium.sp..C1	Clostridium.sp..M62.1	Clostridium.sp..SY8519	Collinsella.aerofaciens	Collinsella.stercoris	Coprobacter.secundus	Coprococcus.catus	Coprococcus.comes	Coprococcus.eutactus	Coprococcus.sp..ART55.1	Corynebacterium.matruchotii	Corynebacterium.propinquum	Corynebacterium.segmentosum	Cruoricaptor.ignavus	Cutibacterium.acnes	Cytobacillus.kochii	Desulfovibrio.fairfieldensis	Desulfovibrio.piger	Dialister.hominis	Dialister.massiliensis	Dialister.pneumosintes	Dolosigranulum.pigrum	Duncaniella.dubosii	Dysosmobacter.sp..Marseille.Q4140	Dysosmobacter.welbionis	Eggerthella.guodeyinii	Eggerthella.lenta	Eggerthella.sp..YY7918	Enterocloster.bolteae	Enterocloster.clostridioformis	Enterococcus.cecorum	Enterococcus.faecalis	Enterococcus.faecium	Erysipelatoclostridium.ramosum	Escherichia.coli	Eubacterium.callanderi	Eubacterium.limosum	Eubacterium.maltosivorans	Eubacterium.sp..NSJ.61	Eubacterium.sp..c.25	Ezakiella.massiliensis	Faecalibacillus.intestinalis	Faecalibacterium.prausnitzii	Faecalibaculum.rodentium	Faecalicatena.sp..Marseille.Q4148	Faecalitalea.cylindroides	Fannyhessea.vaginae	Fastidiosipila.sanguinis	Filifactor.alocis	Finegoldia.magna	Flavonifractor.plautii	Flintibacter.sp..KGMB00164	Fusobacterium.nucleatum	Fusobacterium.pseudoperiodonticum	Gardnerella.vaginalis	Gemella.haemolysans	Gemella.morbillorum	Gemella.sanguinis	Gemella.sp..oral.taxon.928	Gordonibacter.pamelaeae	Gordonibacter.urolithinfaciens	Granulicatella.adiacens	Granulicatella.elegans	Haemophilus.influenzae	Haemophilus.parainfluenzae	Helcococcus.kunzii	Hungatella.hathewayi	Intestinibaculum.porci	Intestinimonas.butyriciproducens	Jeotgalibaca.arthritidis	Klebsiella.pneumoniae	Komagataeibacter.oboediens	Lachnoanaerobaculum.umeaense	Lachnoclostridium.phocaeense	Lachnoclostridium.sp..YL32	Lachnospira.eligens	Lacrimispora.saccharolytica	Lacticaseibacillus.paracasei	Lacticaseibacillus.rhamnosus	Lactiplantibacillus.plantarum	Lactobacillus.acetotolerans	Lactobacillus.acidophilus	Lactobacillus.crispatus	Lactobacillus.delbrueckii	Lactobacillus.gasseri	Lactobacillus.iners	Lactococcus.cremoris	Lactococcus.garvieae	Lactococcus.lactis	Lactococcus.raffinolactis	Lancefieldella.parvula	Latilactobacillus.curvatus	Latilactobacillus.sakei	Lautropia.mirabilis	Lawsonella.clevelandensis	Leuconostoc.carnosum	Leuconostoc.citreum	Leuconostoc.gelidum	Leuconostoc.mesenteroides	Ligilactobacillus.agilis	Ligilactobacillus.animalis	Ligilactobacillus.ruminis	Ligilactobacillus.salivarius	Limosilactobacillus.fermentum	Limosilactobacillus.mucosae	Limosilactobacillus.reuteri	Longibaculum.sp..KGMB06250	Longicatena.caecimuris	Mageeibacillus.indolicus	Massilistercora.timonensis	Megamonas.funiformis	Megasphaera.elsdenii	Megasphaera.massiliensis	Mesorhizobium.terrae	Methylobacterium.sp..DM1	Methylorubrum.extorquens	Minimicrobia.vallesae	Mobiluncus.curtisii	Mogibacterium.diversum	Mogibacterium.pumilum	Monoglobus.pectinilyticus	Murdochiella.vaginalis	Nanosynbacter.featherlites	Nanosynbacter.lyticus	Nanosynbacter.sp..HMT352	Ndongobacter.massiliensis	Neisseria.polysaccharea	Niallia.circulans	Novisyntrophococcus.fermenticellae	Odoribacter.splanchnicus	Olsenella.sp..GAM18	Olsenella.sp..oral.taxon.807	Oscillibacter.sp..NSJ.62	Oscillibacter.sp..PEA192	Paeniclostridium.sordellii	Pandoraea.pnomenusa	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.johnsonii	Parabacteroides.merdae	Parabacteroides.sp..CT06	Paraprevotella.xylaniphila	Parolsenella.catena	Parolsenella.massiliensis	Parvimonas.micra	Pauljensenia.hongkongensis	Peptacetobacter.hiranonis	Peptoniphilus.harei	Phascolarctobacterium.faecium	Phascolarctobacterium.sp..Marseille.Q4147	Phocaeicola.coprophilus	Phocaeicola.dorei	Phocaeicola.salanitronis	Phocaeicola.vulgatus	Phoenicibacter.congonensis	Porphyromonas.asaccharolytica	Porphyromonas.gingivalis	Prevotella.buccalis	Prevotella.copri	Prevotella.dentalis	Prevotella.denticola	Prevotella.histicola	Prevotella.intermedia	Prevotella.jejuni	Prevotella.melaninogenica	Prevotella.nigrescens	Prevotella.scopos	Propionibacterium.acidifaciens	Propionibacterium.freudenreichii	Propionimicrobium.sp..Marseille.P3275	Pseudobutyrivibrio.xylanivorans	Pseudomonas.aeruginosa	Pusillimonas.faecalis	Ralstonia.insidiosa	Ralstonia.mannitolilytica	Ralstonia.pickettii	Ralstonia.solanacearum	Romboutsia.hominis	Romboutsia.ilealis	Romboutsia.sp..CE17	Roseburia.hominis	Roseburia.intestinalis	Rothia.aeria	Rothia.dentocariosa	Rothia.mucilaginosa	Ruminiclostridium.herbifermentans	Ruminococcus.albus	Ruminococcus.bicirculans	Ruminococcus.bovis	Ruminococcus.champanellensis	Ruthenibacterium.lactatiformans	Sarcina.sp..JB2	Schaalia.meyeri	Schaalia.odontolytica	Schaalia.turicensis	Sodaliphilus.pleomorphus	Solibaculum.mannosilyticum	Staphylococcus.aureus	Staphylococcus.epidermidis	Streptobacillus.moniliformis	Streptococcus.acidominimus	Streptococcus.agalactiae	Streptococcus.anginosus	Streptococcus.australis	Streptococcus.canis	Streptococcus.constellatus	Streptococcus.cristatus	Streptococcus.dysgalactiae	Streptococcus.equi	Streptococcus.equinus	Streptococcus.gordonii	Streptococcus.gwangjuense	Streptococcus.ilei	Streptococcus.infantis	Streptococcus.intermedius	Streptococcus.koreensis	Streptococcus.lactarius	Streptococcus.lutetiensis	Streptococcus.mitis	Streptococcus.mutans	Streptococcus.oralis	Streptococcus.parasanguinis	Streptococcus.parasuis	Streptococcus.pasteurianus	Streptococcus.pneumoniae	Streptococcus.pseudopneumoniae	Streptococcus.pseudoporcinus	Streptococcus.pyogenes	Streptococcus.rubneri	Streptococcus.salivarius	Streptococcus.sanguinis	Streptococcus.sp..116.D4	Streptococcus.sp..1643	Streptococcus.sp..A12	Streptococcus.sp..FDAARGOS.192	Streptococcus.sp..HSISM1	Streptococcus.sp..HSISS1	Streptococcus.sp..HSISS2	Streptococcus.sp..HSISS3	Streptococcus.sp..LPB0220	Streptococcus.sp..NPS.308	Streptococcus.sp..NSJ.72	Streptococcus.sp..oral.taxon.061	Streptococcus.sp..oral.taxon.431	Streptococcus.suis	Streptococcus.thermophilus	Streptococcus.vestibularis	Sutterella.faecalis	Sutterella.wadsworthensis	Treponema.medium	Treponema.peruense	Treponema.phagedenis	Trueperella.pyogenes	Turicibacter.sanguinis	Turicibacter.sp..H121	Turicibacter.sp..TJ11	Turicimonas.muris	Veillonella.atypica	Veillonella.dispar	Veillonella.nakazawae	Veillonella.parvula	Veillonella.rodentium	Veillonella.sp..S12025.13	Vescimonas.coprocola	Vescimonas.fastidiosa	Weissella.cibaria	Weissella.confusa	Weissella.paramesenteroides	X.Clostridium..hylemonae	X.Clostridium..innocuum	X.Clostridium..scindens	X.Ruminococcus..gnavus	X.Ruminococcus..torques
NS30	17	540	66	27	0	5	0	7	8	0	2	0	0	2	0	63	5	0	33	4	0	931	4	19	0	2	1572	0	65883	15	0	0	323	134100	0	0	2	9	29	9925	11	13	7	15	6540	0	0	14	249	0	23277	1	59	9	1	0	0	0	2013	22	14	122	273	2628	12	0	0	0	103604	678	0	87	7528	1329	1	708	531	0	0	0	36	2522	1187	1	96508	3547	66	8	2401	12686	0	0	1	0	0	0	0	196	6	0	357	3	2	0	20	2	0	0	22908	0	11	9	160	0	552	75083	1257	543	780	0	23967	10613	948	2123	2	0	0	0	0	0	0	0	0	0	0	5	0	74	1154	12	6893	0	4367	915	0	13	17899	1655	151743	1	58	7	4513	0	77	52	503270	0	140	583	5	0	47	2	349	12	1	3	0	30	1	20	0	521	22	16	54	0	0	0	14	591	13	0	0	50	8	30	147	1913	5376	22	0	0	0	0	0	10	0	0	98	0	241	0	1	0	0	0	0	0	0	0	3	0	0	101	266	0	0	0	198	14627	9	521	7	8	0	2	0	0	141	0	19	0	2179	1	1	0	30	0	0	0	0	5	3	0	34	1656	0	0	39	0	0	124	114	8	0	0	101	0	15	9	2	0	0	371	0	7941	1	0	0	3	327	0	0	0	3	0	2	0	0	0	0	0	0	0	84	0	0	0	0	1	531	45	45573	315250	0	3	2	0	0	148	0	2	268	8	0	22	0	0	153	0	0	0	2	3138	0	15	0	0	11	4	0	1	9	8	0	0	12	0	0	0	54	61	22	73	0	0	24	0	0	0	0	1300	46	0	0	3	24	10	0	0	0	12	0	0	0	1	11	1295	0	0	0	27	30	0	0	0	84	0	44	14	0	5	58	0	0	182	900	0	21	0	0	4293	1318	77131	419318
NS34	0	0	0	3	0	0	0	0	3	6	0	1	0	1	0	8322	3	1	2838	6	0	7896	1	229	0	0	20	0	538	301	408	160	624	1525	0	0	2	0	0	139015	96	8	12	12	1685406	0	0	2	30	1	9223	10	47	0	7	239	14	0	57	0	8	10167	450	4331	48	0	0	0	31	0	0	7424	95	2122	0	4947	638	8	0	0	0	241	50	0	922	433	195	3	531	159	0	0	0	5	0	0	0	0	0	14	50	3	385	0	6	95	0	0	2339	0	45	0	71	4	18	3140	2	30	28	0	679	1676	38	134	0	0	0	149	0	0	0	0	0	0	114	0	0	61	2405	0	2553	2	4744	397	0	6	1335	100	74075	305	261	11	365	10	58	174	10452	0	77	548	0	13	8	387	2062	1	1371	1	0	0	17	0	0	342	42	0	25	1	2	7	752	7	744	0	0	0	0	6	750	417	236	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	177	113	18	2	0	0	1	0	0	0	0	26	1	0	958	0	0	0	0	0	1	0	4	6681	0	0	70	1302	2	0	17263	4	17	22674	16006	0	0	0	17	1	0	653	6729	0	12	604	1	59	0	204	1	245	12	0	0	0	11	13	1	9	0	0	0	2	0	29	217	0	0	0	0	0	58	0	922	1987	0	0	2	9	0	1680	0	3	3671	0	0	2	919	0	186	0	0	1	0	0	188	0	1	549	0	48	82	0	1	0	0	0	1	0	0	409	0	4	0	0	0	15	13	0	12	346	7	68	0	0	0	0	0	0	0	0	0	0	0	112	0	0	22	0	0	0	0	31	0	8	10	499	3005	13	0	1	0	5	24	0	0	8179	508	0	0	0	0	2353	491	118064	2002
NS36	0	0	918	15	0	1	0	0	0	1	0	8	404	560	0	600657	17936	393	31740	0	49	72947	84	281	1323	0	166	0	14321	108	0	0	277	60856	0	5	4	0	0	50811	236	413	439	131	1455	0	2	71	76	0	52985	86	15852	2347	41	4862	579	213	362	0	74110	44288	20398	4417	242	0	33	14	12277	3	0	2	209	22	0	18668	9	0	0	0	18	898	410	1	6466	1284	54	4	539	683	0	0	2	563	4279	1	0	1589	0	1697	90	0	45	0	14	630	0	42	5408	0	21	0	144	0	1808	105582	37	18766	0	0	1073	831	181	651	0	0	0	110	2	0	1	725	0	0	0	0	0	533	14082	0	2543	1	5447	764	0	17	6321	162	880	6	256	46	639	82	104	3509	107529	0	360	5899	13	20	0	85	40974	1455	9	0	0	0	11	2	0	12	117	0	50	0	3	0	3922	0	42323	0	0	11	4	7420	149	105	3038	0	0	0	0	0	266	0	0	0	0	17	522	0	0	0	0	0	0	0	0	0	0	19	0	4	16	0	0	0	3678	1320	0	578	0	0	3	2	0	0	0	8	18	0	289949	9	2	4	0	0	2	0	0	5907	0	3	1203	16430	0	0	29264	81	100	67131	0	26	0	1	0	5	0	245	17702	0	69	3672	30	172020	0	42	1	83	17	0	0	0	74	5	0	9	0	0	1	0	0	1934	19120	0	0	0	0	0	1246	42	2642	4860	0	0	2	0	7	3882	122	118	26864	0	0	4	63	0	614	2395	0	0	0	1869	25	0	11	0	10	0	0	0	12	0	0	0	0	0	0	0	0	22	0	0	0	46	0	0	7	13	0	156	7	0	0	1	2	0	0	0	3	0	0	0	0	0	4	8104	8	0	8087	0	30	0	1	2185	1245	4	0	3	0	0	0	0	0	1262	1038	0	0	0	3	794	526	8669	4267
NS38	0	0	2769	2	152	2	0	0	2	0	0	19	299	1715	0	302665	2780	45	9105	320	3	4010	392	17099	0	0	115	0	23762	0	0	0	0	371930	0	1	0	0	0	202972	770	47643	49	85	64801	0	0	25637	20	141	37862	210	776	355	126	766	29	169	617	47	1645	2065	53899	7747	3622	0	7	0	135990	17	0	28335	355	807	2	113825	7463	17	3	0	79	114	6	0	14934	2849	22	0	5	1878	0	0	2	440	900	4	0	0	0	0	75	0	0	0	630	595	7	213	2445	5	60	0	56	0	158	16328	138	32761	0	0	19178	16022	2125	59116	0	0	8	0	2	0	1850	0	3541	2275	0	0	12	912	6550	0	1236	15	9449	330	0	0	4104	36	75434	10	37	68	527	182	0	1509	176390	0	588	1060	0	0	0	0	2228	3	6	0	0	14	0	6	0	620	299	14	0	0	584	0	4	0	1908	0	0	28	0	226	103	7736	2136	0	0	9	0	0	0	0	0	0	11	89	34	0	0	0	0	12	0	0	0	0	0	6	0	3682	6	0	5	0	1707	985	172	1776	0	0	15	0	0	0	8	0	10	0	8509	25	0	1	3	0	0	0	5	5446	22	2	4336	3925	0	0	11379	18	8	42879	191	21	9	2	79	0	0	0	7	4	5	4167	15	128417	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	1474	535	0	0	0	0	0	664	41	3826	11194	0	12	30	0	1	7829	7	2290	7236	0	0	4	0	0	578	0	0	0	0	4224	0	26	0	0	18	0	0	0	53	0	0	0	4	0	0	37	7	2	0	1	0	0	0	0	0	0	0	1023	18	0	0	1	5	0	0	0	0	0	0	0	0	3	375	64	3	31	5229	3	18	7	0	17	186	32	0	14	0	20	38	0	0	3218	2067	0	0	0	0	520	338	4140	537
NS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	578	0	366	3	0	8	23	388	0	0	103	0	5689	0	0	0	7	423742	0	0	0	0	0	15738	70	9	34175	41	3307	0	0	291	118	17	36227	3	960	562	53	336	46	38	1112	0	42608	5920	14767	24904	151	0	3	0	5112	2	0	1760	922	365	1	47332	587	0	0	0	0	352	48	0	6966	788	20	0	8	1346	0	0	7	0	5	0	0	8	11	245	0	0	8	0	0	0	0	0	528	0	4	0	33	0	29	4079	37	3284	0	0	1181	957	724	2133	0	0	0	0	0	0	0	0	0	0	0	0	0	89	995	0	426	0	1640	314	33	0	279	150	78419	0	126	19	31	4	0	230	747527	0	58	32	0	0	55	5	1242	3	7	0	0	0	12	6	0	9	1	6	0	15	3847	0	2	4	104	0	0	3	0	2	48	55049	1137	0	0	0	0	0	0	0	0	82	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	170	355	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	903	0	0	195	2169	0	0	3917	123	0	12	204	9	0	0	13	0	0	25	1	1	2	18712	5	548781	0	0	0	2	16	0	0	0	4	6	0	0	0	0	0	0	0	0	32	0	0	0	0	0	5	0	23124	22275	2	0	7	0	3	3270	0	0	18	0	0	0	0	0	22	0	0	0	0	0	16	34	0	0	0	0	0	0	23	0	12	0	0	0	23	73	5	6	3	35	0	75	0	0	0	4	0	2342	7	0	0	5	124	7	230	1	6	3	0	0	5	0	0	9	0	4	0	4	23	0	0	0	203	0	0	35	28	91	66	0	20	774	101	0	0	0	0	530	613	5443	6165
NS41	7	0	0	0	0	0	0	0	0	0	0	0	4	3	0	2913	4773	0	5384	2536	12	1030	142	9273	1	0	105	1	1146	0	0	0	21	3992	0	0	0	0	0	66278	78	18	651	129	73627	1	0	55	198	0	33831	45	520	650	22	97	0	19	971	0	16852	24290	15274	8779	83	0	37	0	2134	902	0	319	6	161	1	817	53	0	0	0	0	27	73	1	1920	574	11	0	10	164	0	0	23	419	432	0	0	400	0	10932	112	0	9	0	13	85	0	0	472	0	5	0	34	0	23	3832	5	1139	3	0	6518	7338	6331	213778	0	0	0	0	0	0	0	0	0	0	0	0	1	46	5199	0	18	3	751	439	3	7	2765	23	936	0	219	7	85	0	0	16	577009	0	52	977	0	1	0	0	972	0	0	0	0	0	0	0	0	21	8	0	0	0	66	0	17	28	734	0	0	0	4	0	75	1266	608	0	0	5	2	0	0	0	0	0	5	19	5	0	0	0	0	0	0	0	0	0	0	0	0	3157	0	0	1	0	197	66	145	23	6769	18	73	0	0	0	0	0	0	0	3209	0	0	1	0	0	0	0	9	5549	101	0	182	3896	0	0	16918	26	44	108851	0	1337	0	3	7	0	1	2	0	457	2172	2534	66	120154	0	9	0	35	747445	154	0	0	366	23	655	4	0	0	1	0	0	1947	2425	0	0	0	0	0	48	4	6369	24713	0	0	1	0	0	1393	0	29	1168	0	0	0	0	0	428	0	0	0	0	227	0	0	2	0	0	0	0	0	5	0	3	0	0	0	0	0	3	0	0	2	0	44	19	0	0	0	10	555	1	0	0	3	0	0	0	0	0	0	0	0	6	0	38	50	0	12	2102	2	6	0	0	2	19	0	0	0	0	0	3	0	0	26932	2094	0	0	0	0	94	64	1424	3134
NS55	0	0	0	3	710	2	0	3	0	0	0	7	256	643	0	373	6	0	394	0	0	216	0	101	0	0	370	0	76724	0	0	0	45	206629	0	0	3	0	8	20037	40	1800	39	8	629	0	0	6	109	0	1916	17	83	133	13	1130	11	0	58	0	45	676	6033	34965	144	0	0	0	3098	0	0	13604	80	245	0	12865	5820	0	0	0	0	897	175	10	67239	13520	80	5	294	16018	0	0	49	34	2	2	0	0	0	0	0	0	29	0	326	12	0	0	5732	0	219	0	910	0	44	68483	72	13334	0	0	87786	43149	1691	1949	0	0	0	0	1	0	0	0	0	0	0	0	0	138	2269	0	7576	0	1812	514	0	0	1464	49	29078	0	29	261	730	0	0	71439	642194	0	330	4504	0	0	36	43	1730	8	0	0	0	5	12	22	0	249	771	67	0	0	7	0	19	3	124	0	0	40	87	143	356	20263	1750	7	0	0	0	0	0	0	0	79	83	202	736	13	0	0	0	0	0	0	0	0	0	0	0	16	3	1	0	10	65294	58	56	196	0	13	0	0	0	0	35	0	3	0	3791	17	0	12	0	0	0	0	0	885	0	2	117	362	7	0	570	1	22	90	0	0	5	2	0	1	2	6	3	2	52	3393	25	57372	0	0	0	30	24	0	0	0	0	0	0	0	0	0	0	2	11	0	361	0	0	0	0	2	3054	190	20082	280223	0	0	9	0	2	2921	64	19	2439	0	0	16	0	0	20	0	0	0	0	1058	0	0	51	0	3	0	0	0	21	18	0	3	0	0	0	0	24	8	25	23	0	253	54	0	0	23	0	757	7	0	17	0	17	7	0	0	0	10	0	0	0	0	0	4817	0	0	0	3	40	12	13	54	754	0	0	14	3	51	9	0	5	1572	625	0	0	0	0	1037	1667	96780	172280
NS6	0	1	0	1	0	0	0	0	0	0	0	10	0	0	0	52	507	2	13596	0	0	1679	83	11116	5	0	303	0	54224	99	62	57	83	369757	0	0	0	0	24	7039	420	41	151	87	42768	0	0	2	493	3	73695	12	1933	683	0	581	86	65	3861	0	6	142793	144001	11805	351	0	19	0	38	1	0	5	11	0	0	27	3	0	0	0	0	108	40	0	26302	5082	63	1	18	3083	0	0	4	115	2	0	0	0	0	0	38	0	0	5	15	34	0	0	4607	0	44	0	340	0	159	9605	31	2955	0	0	18240	26812	400	931	0	0	0	695	0	0	0	0	0	0	1	6	0	99	762	0	3998	1	1665	557	77	51	527	523	4477	1	393	3	327	4	42	3099	387023	0	76	2432	0	10	3	160	2029	2	0	0	0	0	0	1	0	14	0	10	22	37	171	18	93	0	113	0	0	9	24	13	556	7318	300	18	220	21	0	1	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	3	4	0	0	10	0	0	0	0	2064	239	197	11	0	0	0	0	0	0	1	0	0	1	20	32	0	0	0	14	3	0	10	4634	1	0	184	759	0	0	1984	1	2	61016	6121	383	0	3	61	0	0	141	0	2	354	25581	62	609400	0	262	2	922	17	0	1	0	6	3	8	9	3	0	0	1	1	3620	237	0	0	0	0	0	560	24	11866	42014	0	0	2	0	1	4348	0	46	1227	0	0	2	10	0	93	50	0	0	0	3521	0	0	10	0	0	68	0	0	2	0	0	0	0	0	0	18	0	0	16	0	16	134	14	0	30	2031	0	666	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	291	0	0	0	11	3	7	12	0	7	0	1	15	0	14	49	0	0	2417	653	26	0	0	0	956	672	15466	19851
NS62	0	0	0	5	1055	10	0	0	8	0	0	19	794	12715	0	23080	69	7	2102	18	2	16189	83	2742	0	0	347	8	179466	0	4	0	438	565529	0	0	0	2	28	270	24	22	20	20	3499	0	0	37	2	0	2136	4	41	0	0	75	26	0	20	0	7882	4428	4226	3502	12	0	8	141	381	0	0	7	104	1303	0	36393	33518	0	0	0	0	1745	184	0	221399	45041	614	10	3476	29678	0	0	9	8	13	0	0	4279	0	600	860	0	0	0	1204	142	0	0	6192	0	144	0	151	0	193	51347	445	137	2	0	81193	148290	9096	225585	0	0	0	0	0	0	0	0	0	0	0	0	0	221	1797	0	2192	4	1662	162	0	8	7377	186	934	4	40	9	143	177	17	9492	174824	3	677	783	3	0	27	0	725	1	0	0	0	7	26	90	87	2020	125	280	0	0	14	0	50	29	110	0	0	26	25	207	600	10224	34356	0	1	0	0	0	0	124	0	0	871	0	1495	2	0	54	0	161	0	0	0	11	4	1	0	18	0	0	0	0	5454	18703	31	794	0	5	1	0	0	0	26	1	24	0	7649	0	0	0	5	0	0	0	0	340	0	0	32	2328	74	0	612	297	0	4652	591	13	77	0	6	0	0	4	1023	0	6	321	0	7441	0	2	3	1	20	0	0	0	19	0	0	0	0	0	0	0	3	0	273	0	0	0	0	0	2738	178	12853	31448	0	2	44	0	1	2972	253	67	2047	29	0	66	0	0	106	124	0	0	15	0	0	14	29	0	0	0	0	0	11	0	33	1	12	0	0	479	35	0	5	56	0	156	0	0	0	0	0	4795	83	4	0	1	188	6	0	13	0	34	0	0	10	1	0	929	0	0	0	44	24	0	0	168	69	0	0	0	0	0	30	0	0	6084	2823	5	0	0	0	2827	5799	81261	15258
NS7	192	267	0	8	197	12	2	0	0	1	0	4	0	0	4	11	384	5	405	114	443	2516	16	517	0	20	116	0	50179	0	4	0	7	36843	0	0	13	0	0	2991	6	4	0	12	1751	0	0	1	6	458	1424	2	0	50	1	103	16	0	19	0	45	896	3283	6853	27	0	4	69	98497	32	17	73381	484	6078	1	50983	2237	0	0	0	0	323	302	5	69671	6429	69	0	14	13204	0	0	26	194	27	0	0	6521	6	75	250	0	0	0	18	25	0	69	315	6	5	0	329	2	54	14801	29	96349	0	1	9989	41455	392	325	0	0	10	0	3	70	0	1	0	0	3	14	0	110	3451	2	5411	0	1264	800	11	8	2722	44	6974	6	28	3	272	21	0	788	1266209	0	324	1958	0	0	0	42	193	0	19	13	1	6	63	227	0	112	0	80	49	0	782	0	0	0	178	12	0	12	16	209	43	4582	1215	0	0	9	8	0	9	216	6	0	79	327	39	0	2	0	0	4	0	4	0	0	0	101	2	72726	17	0	22	3	714	111	0	59	3420	6	845	0	0	0	37	0	21	0	44	23	0	0	1	0	0	34	0	675	114	0	102	316	24	0	3799	0	1	62	0	0	0	5	6	0	3	4	414	1	57	1394	0	17473	0	0	0	19	43212	3	0	0	5	12	146	0	4	0	1	4	1	0	81	0	0	0	0	1	23288	822	13735	34706	3	5	53	0	0	269	0	19	343	1	0	47	0	1	1916	0	0	0	0	146	0	56	0	0	24	0	0	0	729	31	3	1	1	0	0	0	126	3	42	224	0	63	77	7	0	0	0	6449	180	1	0	35	88	19	0	2	24	33	0	0	22	17	59	3574	0	0	10311	2	19	0	3	636	26692	148	0	439	20	268	761	6	104	8728	1485	0	0	0	0	397	153	8745	29693
