#Classification	GQ35_bracken_P.kreport
k__Bacteria	12935676
k__Bacteria|p__Firmicutes	6563555
k__Bacteria|p__Actinobacteria	319209
k__Bacteria|p__Bacteroidetes	5896163
k__Bacteria|p__Proteobacteria	156572
k__Bacteria|p__Spirochaetes	90
k__Bacteria|p__Verrucomicrobia	21
k__Bacteria|p__Candidatus_Saccharibacteria	18
k__Bacteria|p__Fusobacteria	44
k__Eukaryota	529
k__Eukaryota|k__Viridiplantae	506
k__Eukaryota|k__Viridiplantae|p__Streptophyta	506
k__Eukaryota|k__Metazoa	22
k__Eukaryota|k__Metazoa|p__Chordata	22
k__Viruses	5040
k__Viruses|k__Heunggongvirae	5040
k__Viruses|k__Heunggongvirae|p__Uroviricota	5040
