#Classification	S-16-POLJUN-G_bracken_P.kreport
k__Bacteria	42705
k__Bacteria|p__Proteobacteria	35691
k__Bacteria|p__Cyanobacteria	4571
k__Bacteria|p__Actinobacteria	456
k__Bacteria|p__Firmicutes	113
k__Bacteria|p__Bacteroidetes	1642
k__Bacteria|p__Acidobacteria	228
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	2849
k__Eukaryota|k__Viridiplantae	2604
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2604
k__Eukaryota|k__Metazoa	185
k__Eukaryota|k__Metazoa|p__Chordata	185
k__Eukaryota|k__Fungi	58
k__Eukaryota|k__Fungi|p__Ascomycota	58
