#Classification	S-9-DICUND-B_bracken_P.kreport
k__Bacteria	194950
k__Bacteria|p__Actinobacteria	105078
k__Bacteria|p__Cyanobacteria	946
k__Bacteria|p__Chloroflexi	18
k__Bacteria|p__Armatimonadetes	31
k__Bacteria|p__Firmicutes	483
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Proteobacteria	81096
k__Bacteria|p__Acidobacteria	3721
k__Bacteria|p__Planctomycetes	1112
k__Bacteria|p__Verrucomicrobia	181
k__Bacteria|p__Chlamydiae	30
k__Bacteria|p__Bacteroidetes	1056
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Spirochaetes	1187
k__Eukaryota	10567
k__Eukaryota|k__Viridiplantae	9311
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9310
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	1044
k__Eukaryota|k__Metazoa|p__Chordata	1044
k__Eukaryota|k__Fungi	209
k__Eukaryota|k__Fungi|p__Ascomycota	205
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|p__Bacillariophyta	1
k__Eukaryota|p__Euglenozoa	1
