#Classification	S-9-POLCOM-B_bracken_O.kreport
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	754
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	458
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	643
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	4134
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	302
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	34
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	30
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	10
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	12511
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	11878
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	632
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4826
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	4826
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1983
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1983
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	577
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	452
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	125
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	145
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	64
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	51
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	29
k__Bacteria|p__Cyanobacteria	24408
k__Bacteria|p__Cyanobacteria|o__Nostocales	20765
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	3112
k__Bacteria|p__Cyanobacteria|o__Synechococcales	329
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	96
k__Bacteria|p__Cyanobacteria|o__Chroococcales	45
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	33
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	33
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	10
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	6
k__Bacteria|p__Cyanobacteria|o__Thermostichales	5
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	2
k__Bacteria|p__Firmicutes	8513
k__Bacteria|p__Firmicutes|c__Bacilli	6653
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	5423
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1230
k__Bacteria|p__Firmicutes|c__Clostridia	1443
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	61
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	7
k__Bacteria|p__Firmicutes|c__Tissierellia	212
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	212
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	97
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	97
k__Bacteria|p__Firmicutes|c__Negativicutes	87
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	39
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	48
k__Bacteria|p__Firmicutes|c__Limnochordia	19
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	19
k__Bacteria|p__Deinococcus-Thermus	340
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	340
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	254
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	74
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	12
k__Bacteria|p__Chloroflexi	303
k__Bacteria|p__Chloroflexi|c__Anaerolineae	198
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	198
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	32
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	32
k__Bacteria|p__Chloroflexi|c__Chloroflexia	26
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	26
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	14
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	14
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	13
