#Classification	GQ44_bracken_P.kreport
k__Bacteria	2616173
k__Bacteria|p__Firmicutes	1460164
k__Bacteria|p__Actinobacteria	446514
k__Bacteria|p__Bacteroidetes	414984
k__Bacteria|p__Verrucomicrobia	247802
k__Bacteria|p__Proteobacteria	46641
k__Bacteria|p__Spirochaetes	65
k__Archaea	148186
k__Archaea|p__Euryarchaeota	148186
k__Eukaryota	189
k__Eukaryota|k__Viridiplantae	189
k__Eukaryota|k__Viridiplantae|p__Streptophyta	189
k__Viruses	22
k__Viruses|k__Heunggongvirae	22
k__Viruses|k__Heunggongvirae|p__Uroviricota	22
