#Classification	NS4_bracken_O.kreport
k__Bacteria	12049015
k__Bacteria|p__Firmicutes	5104894
k__Bacteria|p__Firmicutes|c__Clostridia	5006586
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	5006492
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	87
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	5
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	1
k__Bacteria|p__Firmicutes|c__Bacilli	60207
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	57830
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2377
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	27712
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	27712
k__Bacteria|p__Firmicutes|c__Negativicutes	9720
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	9546
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	122
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	50
k__Bacteria|p__Firmicutes|c__Tissierellia	667
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	667
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	1
k__Bacteria|p__Actinobacteria	815137
k__Bacteria|p__Actinobacteria|c__Actinomycetia	764032
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	763169
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	285
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	263
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	155
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	84
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	57
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	2
