feature	Agathobaculum.butyriciproducens	Akkermansia.muciniphila	Alistipes.onderdonkii	Alistipes.putredinis	Anaerobutyricum.hallii	Anaerobutyricum.soehngenii	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.fragilis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Barnesiella.intestinihominis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.bifidum	Bifidobacterium.catenulatum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Blautia.faecis	Blautia.massiliensis	Blautia.obeum	Blautia.wexlerae	Brotolimicola.acetigignens	Catenibacterium.tridentinum	Cibionibacter.quicibialis	Clostridiaceae.bacterium	Clostridiales.bacterium.KLE1615	Clostridium.SGB4750	Clostridium.fessum	Clostridium.leptum	Clostridium.sp.AM22.11AC	Collinsella.aerofaciens	Coprococcus.catus	Coprococcus.comes	Coprococcus.eutactus	Dialister.invisus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.ramulus	Eubacterium.rectale	Eubacterium.ventriosum	Evtepia.gabavorous	Faecalibacillus.intestinalis	Faecalibacterium.SGB15346	Faecalibacterium.prausnitzii	Faecalibacterium.sp.CLA.AA.H233	Faecalibacterium.sp.HTFF	Fusicatenibacter.saccharivorans	GGB3256.SGB4303	GGB3277.SGB4327	GGB3304.SGB4367	GGB3740.SGB5077	GGB4552.SGB6276	GGB51647.SGB4348	Gemmiger.formicilis	Intestinibacter.bartlettii	Lachnospira.eligens	Lachnospira.sp.NSJ.43	Lachnospiraceae.bacterium.CLA.AA.H244	Lacrimispora.amygdalina	Mediterraneibacter.faecis	Monoglobus.pectinilyticus	Oliverpabstia.intestinalis	Oscillibacter.sp.ER4	Oscillospiraceae.bacterium.CLA.AA.H250	Parabacteroides.merdae	Phocaeicola.vulgatus	Romboutsia.timonensis	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.lactaris	Ruminococcus.torques	Ruthenibacterium.lactatiformans	Segatella.copri	Streptococcus.salivarius
NS28	0	0.361367123906708	0	0	0.177710600845112	0	0	0.177710600845112	0	0	0	0	0	0.177710600845112	0.177710600845112	0	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0.361367123906708	0	0	0	0	0	0	0.177710600845112	0.252680255142079	0	0.177710600845112	0	0	0.177710600845112	0	0	0	0	0	0	0	0	0	0	0	0.177710600845112	0	0	0	0	0.177710600845112	0	0	0.593199776149629	0
NS38	0	0.411516846067488	0	0	0	0.141897054604164	0	0.286756552211548	0	0	0	0	0	0.201357920790331	0.353741605889672	0	0.141897054604164	0	0.201357920790331	0.201357920790331	0	0	0	0	0.141897054604164	0	0.141897054604164	0	0	0	0	0	0	0	0	0	0.141897054604164	0	0	0	0	0	0	0	0	0.141897054604164	0.247467063170448	0	0	0	0	0	0.383497003930933	0	0.201357920790331	0	0	0	0.141897054604164	0	0.141897054604164	0	0	0	0	0	0	0	0.247467063170448	0	0	0	0	0.141897054604164	0.141897054604164	0	0	0	0.141897054604164	0	0
NS46	0	0	0	0	0	0	0.298001219593757	0	0	0	0.229437102507055	0	0	0	0.131686708058416	0	0	0	0.131686708058416	0	0	0	0.131686708058416	0.131686708058416	0	0	0.533497171209915	0	0	0	0	0	0	0	0	0.186779461081594	0.186779461081594	0	0	0.229437102507055	0	0.298001219593757	0	0.131686708058416	0	0	0.131686708058416	0	0	0	0	0.327454426146225	0.186779461081594	0	0.186779461081594	0.186779461081594	0	0	0	0	0	0	0	0	0.131686708058416	0	0	0	0.131686708058416	0.131686708058416	0	0	0	0	0.131686708058416	0	0	0	0.131686708058416	0	0
NS62	0	0.128389313635482	0.128389313635482	0	0	0	0.416856518642627	0	0	0	0	0	0	0	0	0	0	0	0	0.128389313635482	0	0.128389313635482	0.223625586129384	0.290362079855635	0.128389313635482	0	0.223625586129384	0	0.128389313635482	0	0	0	0	0	0	0.128389313635482	0.182075843827065	0	0	0.182075843827065	0	0.370565906534295	0	0	0	0	0.128389313635482	0	0	0.182075843827065	0.319008273429944	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128389313635482	0	0	0	0	0	0.128389313635482	0	0	0	0.394244375064785	0	0.128389313635482	0	0	0	0
NS71	0	0	0	0	0	0	0.523598775598299	0.151332636977216	0	0	0	0	0	0	0	0	0.264178632145125	0	0.214849833075712	0	0.151332636977216	0	0.264178632145125	0	0	0.214849833075712	0	0	0	0	0	0	0	0.264178632145125	0	0	0	0	0	0.151332636977216	0	0	0	0.151332636977216	0	0	0	0	0	0	0	0	0	0	0	0.214849833075712	0	0	0	0	0	0	0	0.151332636977216	0	0	0.214849833075712	0	0.343834825955561	0.151332636977216	0	0	0	0	0.264178632145125	0	0	0	0.214849833075712	0	0
NS83	0	0	0	0	0	0	0	0	0	0.137796224645885	0	0	0	0	0	0.137796224645885	0	0	0	0	0.19550014059373	0.137796224645885	0	0.371938311296452	0	0	0.137796224645885	0.137796224645885	0	0	0	0	0	0	0.137796224645885	0	0	0	0.137796224645885	0.137796224645885	0	0.240219135875284	0	0	0.19550014059373	0.137796224645885	0.399018729451352	0	0	0.240219135875284	0	0	0.371938311296452	0	0	0	0.240219135875284	0	0.137796224645885	0	0	0	0.137796224645885	0	0	0.19550014059373	0.137796224645885	0	0	0	0.137796224645885	0	0	0.19550014059373	0	0	0	0	0	0	0.137796224645885
NS9	0.129460771003111	0	0	0.261157410903024	0.225513405898131	0.129460771003111	0.225513405898131	0	0	0.129460771003111	0	0	0.129460771003111	0	0	0	0	0	0	0	0	0.129460771003111	0.129460771003111	0.183604010278919	0	0	0.292842771728575	0	0	0	0	0.129460771003111	0	0	0.129460771003111	0.225513405898131	0	0	0	0	0	0.225513405898131	0	0	0	0	0.225513405898131	0	0.129460771003111	0.321750554396642	0	0	0	0	0	0.420534335283965	0.129460771003111	0	0	0	0	0	0.129460771003111	0	0	0	0.129460771003111	0.129460771003111	0	0	0.129460771003111	0	0	0.183604010278919	0.129460771003111	0	0.129460771003111	0	0	0	0
NS72	0	0.137796224645885	0	0	0.137796224645885	0.19550014059373	0.137796224645885	0	0	0	0	0	0	0	0.44934121948553	0	0.371938311296452	0	0	0	0	0.278299659005111	0.137796224645885	0.371938311296452	0	0	0.137796224645885	0.137796224645885	0	0	0	0	0	0	0	0	0.19550014059373	0	0.137796224645885	0.137796224645885	0	0.137796224645885	0	0	0.278299659005111	0	0	0	0	0	0	0	0.240219135875284	0	0	0	0.137796224645885	0	0	0	0	0	0	0	0	0	0.240219135875284	0	0	0	0	0	0	0	0.137796224645885	0	0	0	0	0	0
NS58	0	0	0	0	0.125327831168065	0	0.252680255142079	0	0	0	0	0	0	0	0	0	0	0	0.125327831168065	0	0.125327831168065	0.337065253333658	0.125327831168065	0.40637778068433	0	0	0	0.125327831168065	0.125327831168065	0	0	0	0	0	0	0	0	0	0.125327831168065	0.21823451436746	0	0.447832396928932	0	0	0.177710600845112	0	0	0	0	0.337065253333658	0	0	0	0	0	0	0.125327831168065	0.125327831168065	0	0	0.125327831168065	0	0.177710600845112	0	0	0	0.21823451436746	0	0	0.125327831168065	0	0.21823451436746	0	0	0	0	0	0	0	0	0
NS7	0	0	0.137796224645885	0.137796224645885	0.137796224645885	0	0.137796224645885	0	0	0	0	0	0	0	0.34315868913408	0	0.240219135875284	0.137796224645885	0.137796224645885	0	0	0	0	0.19550014059373	0	0	0	0	0	0	0	0	0	0.137796224645885	0	0	0	0.137796224645885	0	0.19550014059373	0	0.240219135875284	0	0	0	0.137796224645885	0.47301629221915	0	0.137796224645885	0	0	0	0	0.137796224645885	0	0.137796224645885	0.137796224645885	0.137796224645885	0	0.137796224645885	0	0.137796224645885	0	0	0	0	0	0	0	0.34315868913408	0	0.137796224645885	0	0	0	0	0	0	0	0.240219135875284	0
