feature	Agathobaculum.butyriciproducens	Akkermansia.muciniphila	Alistipes.onderdonkii	Alistipes.putredinis	Anaerobutyricum.hallii	Anaerobutyricum.soehngenii	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.fragilis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Barnesiella.intestinihominis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.bifidum	Bifidobacterium.catenulatum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Blautia.faecis	Blautia.massiliensis	Blautia.obeum	Blautia.wexlerae	Brotolimicola.acetigignens	Catenibacterium.tridentinum	Cibionibacter.quicibialis	Clostridiaceae.bacterium	Clostridiales.bacterium.KLE1615	Clostridium.SGB4750	Clostridium.fessum	Clostridium.leptum	Clostridium.sp.AM22.11AC	Collinsella.aerofaciens	Coprococcus.catus	Coprococcus.comes	Coprococcus.eutactus	Dialister.invisus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.ramulus	Eubacterium.rectale	Eubacterium.ventriosum	Evtepia.gabavorous	Faecalibacillus.intestinalis	Faecalibacterium.SGB15346	Faecalibacterium.prausnitzii	Faecalibacterium.sp.CLA.AA.H233	Faecalibacterium.sp.HTFF	Fusicatenibacter.saccharivorans	GGB3256.SGB4303	GGB3277.SGB4327	GGB3304.SGB4367	GGB3740.SGB5077	GGB4552.SGB6276	GGB51647.SGB4348	Gemmiger.formicilis	Intestinibacter.bartlettii	Lachnospira.eligens	Lachnospira.sp.NSJ.43	Lachnospiraceae.bacterium.CLA.AA.H244	Lacrimispora.amygdalina	Mediterraneibacter.faecis	Monoglobus.pectinilyticus	Oliverpabstia.intestinalis	Oscillibacter.sp.ER4	Oscillospiraceae.bacterium.CLA.AA.H250	Parabacteroides.merdae	Phocaeicola.vulgatus	Romboutsia.timonensis	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.lactaris	Ruminococcus.torques	Ruthenibacterium.lactatiformans	Segatella.copri	Streptococcus.salivarius
NS28	0	0.125	0	0	0.03125	0	0	0.03125	0	0	0	0	0	0.03125	0.03125	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0.125	0	0	0	0	0	0	0.03125	0.0625	0	0.03125	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0.03125	0	0	0.3125	0
NS38	0	0.16	0	0	0	0.02	0	0.08	0	0	0	0	0	0.04	0.12	0	0.02	0	0.04	0.04	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.06	0	0	0	0	0	0.14	0	0.04	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0.06	0	0	0	0	0.02	0.02	0	0	0	0.02	0	0
NS46	0	0	0	0	0	0	0.0862068965517241	0	0	0	0.0517241379310345	0	0	0	0.0172413793103448	0	0	0	0.0172413793103448	0	0	0	0.0172413793103448	0.0172413793103448	0	0	0.258620689655172	0	0	0	0	0	0	0	0	0.0344827586206897	0.0344827586206897	0	0	0.0517241379310345	0	0.0862068965517241	0	0.0172413793103448	0	0	0.0172413793103448	0	0	0	0	0.103448275862069	0.0344827586206897	0	0.0344827586206897	0.0344827586206897	0	0	0	0	0	0	0	0	0.0172413793103448	0	0	0	0.0172413793103448	0.0172413793103448	0	0	0	0	0.0172413793103448	0	0	0	0.0172413793103448	0	0
NS62	0	0.0163934426229508	0.0163934426229508	0	0	0	0.163934426229508	0	0	0	0	0	0	0	0	0	0	0	0	0.0163934426229508	0	0.0163934426229508	0.0491803278688525	0.0819672131147541	0.0163934426229508	0	0.0491803278688525	0	0.0163934426229508	0	0	0	0	0	0	0.0163934426229508	0.0327868852459016	0	0	0.0327868852459016	0	0.131147540983607	0	0	0	0	0.0163934426229508	0	0	0.0327868852459016	0.0983606557377049	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163934426229508	0	0	0	0	0	0.0163934426229508	0	0	0	0.147540983606557	0	0.0163934426229508	0	0	0	0
NS71	0	0	0	0	0	0	0.25	0.0227272727272727	0	0	0	0	0	0	0	0	0.0681818181818182	0	0.0454545454545455	0	0.0227272727272727	0	0.0681818181818182	0	0	0.0454545454545455	0	0	0	0	0	0	0	0.0681818181818182	0	0	0	0	0	0.0227272727272727	0	0	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0	0	0	0	0	0	0	0.0227272727272727	0	0	0.0454545454545455	0	0.113636363636364	0.0227272727272727	0	0	0	0	0.0681818181818182	0	0	0	0.0454545454545455	0	0
NS83	0	0	0	0	0	0	0	0	0	0.0188679245283019	0	0	0	0	0	0.0188679245283019	0	0	0	0	0.0377358490566038	0.0188679245283019	0	0.132075471698113	0	0	0.0188679245283019	0.0188679245283019	0	0	0	0	0	0	0.0188679245283019	0	0	0	0.0188679245283019	0.0188679245283019	0	0.0566037735849057	0	0	0.0377358490566038	0.0188679245283019	0.150943396226415	0	0	0.0566037735849057	0	0	0.132075471698113	0	0	0	0.0566037735849057	0	0.0188679245283019	0	0	0	0.0188679245283019	0	0	0.0377358490566038	0.0188679245283019	0	0	0	0.0188679245283019	0	0	0.0377358490566038	0	0	0	0	0	0	0.0188679245283019
NS9	0.0166666666666667	0	0	0.0666666666666667	0.05	0.0166666666666667	0.05	0	0	0.0166666666666667	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.0333333333333333	0	0	0.0833333333333333	0	0	0	0	0.0166666666666667	0	0	0.0166666666666667	0.05	0	0	0	0	0	0.05	0	0	0	0	0.05	0	0.0166666666666667	0.1	0	0	0	0	0	0.166666666666667	0.0166666666666667	0	0	0	0	0	0.0166666666666667	0	0	0	0.0166666666666667	0.0166666666666667	0	0	0.0166666666666667	0	0	0.0333333333333333	0.0166666666666667	0	0.0166666666666667	0	0	0	0
NS72	0	0.0188679245283019	0	0	0.0188679245283019	0.0377358490566038	0.0188679245283019	0	0	0	0	0	0	0	0.188679245283019	0	0.132075471698113	0	0	0	0	0.0754716981132075	0.0188679245283019	0.132075471698113	0	0	0.0188679245283019	0.0188679245283019	0	0	0	0	0	0	0	0	0.0377358490566038	0	0.0188679245283019	0.0188679245283019	0	0.0188679245283019	0	0	0.0754716981132075	0	0	0	0	0	0	0	0.0566037735849057	0	0	0	0.0188679245283019	0	0	0	0	0	0	0	0	0	0.0566037735849057	0	0	0	0	0	0	0	0.0188679245283019	0	0	0	0	0	0
NS58	0	0	0	0	0.015625	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0.015625	0	0.015625	0.109375	0.015625	0.15625	0	0	0	0.015625	0.015625	0	0	0	0	0	0	0	0	0	0.015625	0.046875	0	0.1875	0	0	0.03125	0	0	0	0	0.109375	0	0	0	0	0	0	0.015625	0.015625	0	0	0.015625	0	0.03125	0	0	0	0.046875	0	0	0.015625	0	0.046875	0	0	0	0	0	0	0	0	0
NS7	0	0	0.0188679245283019	0.0188679245283019	0.0188679245283019	0	0.0188679245283019	0	0	0	0	0	0	0	0.113207547169811	0	0.0566037735849057	0.0188679245283019	0.0188679245283019	0	0	0	0	0.0377358490566038	0	0	0	0	0	0	0	0	0	0.0188679245283019	0	0	0	0.0188679245283019	0	0.0377358490566038	0	0.0566037735849057	0	0	0	0.0188679245283019	0.207547169811321	0	0.0188679245283019	0	0	0	0	0.0188679245283019	0	0.0188679245283019	0.0188679245283019	0.0188679245283019	0	0.0188679245283019	0	0.0188679245283019	0	0	0	0	0	0	0	0.113207547169811	0	0.0188679245283019	0	0	0	0	0	0	0	0.0566037735849057	0
NS29	0	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0.142857142857143	0	0.0238095238095238	0	0.0476190476190476	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0	0.0238095238095238	0	0	0	0	0	0.0238095238095238	0	0	0	0	0	0	0	0	0.0952380952380952	0	0	0	0	0	0	0	0	0	0.0238095238095238	0	0	0	0	0	0	0.0238095238095238	0	0	0	0	0	0.0238095238095238	0.0952380952380952	0.0238095238095238	0	0	0.238095238095238	0	0	0	0	0	0
NS81	0	0	0	0	0.0545454545454545	0	0.0363636363636364	0	0	0	0	0	0	0	0.0181818181818182	0	0	0	0.0181818181818182	0	0.0181818181818182	0	0.0181818181818182	0.0727272727272727	0	0	0.145454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0.0545454545454545	0	0.254545454545455	0	0	0.0181818181818182	0	0.0545454545454545	0	0	0.0363636363636364	0	0	0	0	0	0	0	0.0363636363636364	0.0181818181818182	0	0.0181818181818182	0	0.0545454545454545	0	0	0	0	0	0	0.0363636363636364	0	0	0	0	0.0363636363636364	0	0	0	0	0	0
NS67	0	0	0	0	0.0185185185185185	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0.0185185185185185	0.0185185185185185	0	0	0.0185185185185185	0	0	0	0	0	0	0.314814814814815	0.0185185185185185	0.0185185185185185	0	0	0	0	0	0	0.037037037037037	0	0	0	0.0555555555555556	0	0.111111111111111	0	0	0	0.111111111111111	0	0	0	0	0	0.0740740740740741	0	0	0	0.037037037037037	0	0	0	0	0	0	0.037037037037037	0	0	0	0.0555555555555556	0	0	0
NS30	0	0	0	0	0	0	0.0666666666666667	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0.0333333333333333	0	0.0833333333333333	0	0	0	0	0.0833333333333333	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0.0166666666666667	0.0166666666666667	0.15	0.0666666666666667	0.0166666666666667	0	0	0	0	0	0	0	0
NS51	0.0163934426229508	0	0	0	0	0.0327868852459016	0.0327868852459016	0.0163934426229508	0	0	0	0	0	0	0.0327868852459016	0	0	0.0327868852459016	0.0163934426229508	0	0	0.0327868852459016	0	0.0655737704918033	0	0	0.0163934426229508	0	0	0	0	0	0.0163934426229508	0	0	0	0	0	0	0	0	0.114754098360656	0.0163934426229508	0	0	0	0.0819672131147541	0	0	0.0655737704918033	0	0	0	0	0	0.0163934426229508	0.0655737704918033	0	0	0	0.0163934426229508	0	0.0819672131147541	0	0.0163934426229508	0	0.0491803278688525	0	0	0.0655737704918033	0	0	0	0	0.0655737704918033	0.0163934426229508	0	0	0	0	0.0163934426229508
NS55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158730158730159	0	0	0	0	0	0	0	0	0.126984126984127	0.0158730158730159	0	0.0158730158730159	0	0	0	0.0158730158730159	0	0	0	0	0	0	0	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.349206349206349	0.0634920634920635	0.0317460317460317	0.0952380952380952	0	0.0793650793650794	0	0	0.0476190476190476	0	0	0	0	0	0	0	0	0	0	0.0158730158730159	0	0	0	0	0	0.0158730158730159	0	0	0	0	0.0158730158730159	0	0	0.0476190476190476	0	0	0	0	0	0
NS70	0	0	0	0	0.0149253731343284	0	0.0597014925373134	0	0	0	0	0	0	0	0	0	0	0	0.0149253731343284	0.0298507462686567	0	0.0149253731343284	0	0.0597014925373134	0	0	0.0149253731343284	0.0149253731343284	0	0.0149253731343284	0	0	0	0	0.0149253731343284	0	0	0	0.0149253731343284	0.0149253731343284	0	0.283582089552239	0	0	0.0149253731343284	0	0.0746268656716418	0	0	0.0447761194029851	0	0	0	0	0	0.0597014925373134	0	0	0.0149253731343284	0	0	0	0	0	0.0298507462686567	0	0	0	0	0.0149253731343284	0	0	0	0.0298507462686567	0	0	0	0	0	0.134328358208955	0.0149253731343284
NS86	0	0	0	0	0	0	0.305084745762712	0	0	0	0	0	0	0	0.0338983050847458	0.0169491525423729	0.0169491525423729	0	0	0	0.0169491525423729	0.0338983050847458	0.0169491525423729	0.0338983050847458	0	0	0.0169491525423729	0	0	0	0	0	0	0	0	0	0.152542372881356	0	0.0169491525423729	0	0	0	0	0	0	0	0.11864406779661	0	0.0169491525423729	0.0169491525423729	0.0169491525423729	0	0	0	0	0	0.0169491525423729	0	0	0	0.0338983050847458	0	0	0	0.0169491525423729	0	0.0169491525423729	0	0	0.0169491525423729	0.0169491525423729	0	0.0169491525423729	0	0	0	0	0	0	0.0338983050847458	0
NS34	0	0.0208333333333333	0.0208333333333333	0	0	0	0	0.166666666666667	0.395833333333333	0.0416666666666667	0	0	0	0	0	0	0	0.0416666666666667	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0.229166666666667	0	0.0208333333333333	0	0	0
NS32	0	0.0208333333333333	0	0	0	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0.0208333333333333	0	0.0208333333333333	0	0	0	0	0.0208333333333333	0.104166666666667	0.0625	0	0	0.0208333333333333	0	0	0	0	0	0.229166666666667	0.0208333333333333	0	0.0208333333333333	0	0	0.0416666666666667	0	0.0208333333333333	0.1875	0	0	0	0	0	0	0	0	0.0208333333333333	0.0208333333333333	0	0	0	0	0	0.0208333333333333	0	0	0.0208333333333333	0	0	0	0	0.0833333333333333	0
NS40	0.0169491525423729	0	0	0.0508474576271186	0	0	0	0	0	0	0	0	0	0	0.0338983050847458	0.0169491525423729	0	0.0169491525423729	0	0	0.0169491525423729	0	0	0.0169491525423729	0	0	0.0338983050847458	0	0	0	0	0.0338983050847458	0	0.0169491525423729	0	0.0169491525423729	0	0	0.0508474576271186	0	0	0.0169491525423729	0	0	0	0	0.0677966101694915	0	0.0169491525423729	0	0	0	0.372881355932203	0	0	0	0.0169491525423729	0	0.0169491525423729	0	0	0	0	0.0169491525423729	0	0	0.0169491525423729	0	0	0	0.0508474576271186	0	0.0169491525423729	0	0	0	0	0	0.0169491525423729	0.0508474576271186	0
