#Classification	GQ52_bracken_P.kreport
k__Bacteria	9991368
k__Bacteria|p__Bacteroidetes	7037987
k__Bacteria|p__Firmicutes	2581130
k__Bacteria|p__Actinobacteria	21524
k__Bacteria|p__Verrucomicrobia	259793
k__Bacteria|p__Proteobacteria	90918
k__Bacteria|p__Spirochaetes	11
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	5
k__Eukaryota|k__Viridiplantae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5
k__Viruses	59
k__Viruses|k__Heunggongvirae	59
k__Viruses|k__Heunggongvirae|p__Uroviricota	59
