#Classification	S-24-POLJUN-B_bracken_O.kreport
k__Bacteria	706061
k__Bacteria|p__Proteobacteria	409150
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	274665
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	153139
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	84004
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	30263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	6324
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	851
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	55
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	80838
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	78368
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1216
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1014
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	239
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	51173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1561
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	40372
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	176
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	629
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	41
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	45
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	13
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2434
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2337
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	78
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	18
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	32
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	32
k__Bacteria|p__Proteobacteria|c__Oligoflexia	6
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	6
k__Bacteria|p__Cyanobacteria	171007
k__Bacteria|p__Cyanobacteria|o__Nostocales	166100
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	3362
k__Bacteria|p__Cyanobacteria|o__Chroococcales	176
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1195
k__Bacteria|p__Cyanobacteria|o__Synechococcales	108
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	34
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	17
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	4
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	4
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	2
k__Bacteria|p__Cyanobacteria|o__Thermostichales	5
k__Bacteria|p__Actinobacteria	93295
k__Bacteria|p__Actinobacteria|c__Actinomycetia	87826
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	44529
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	9116
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	6844
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	4582
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	7649
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	3467
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1712
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1153
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	2305
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	1181
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	773
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1334
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	136
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	200
