name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas aeruginosa	138123	S	58	1053	1111	0.14350
Pseudomonas paraeruginosa	138137	S	2	22	24	0.00310
Stutzerimonas stutzeri_AO	139038	S	83	1010	1093	0.14118
Stutzerimonas stutzeri	139027	S	19	314	333	0.04301
Stutzerimonas stutzeri_U	139055	S	6	258	264	0.03410
Stutzerimonas stutzeri_AN	139037	S	5	9	14	0.00181
Stutzerimonas stutzeri_AC	139030	S	1	9	10	0.00129
Stutzerimonas stutzeri_G	139046	S	1	8	9	0.00116
Pseudomonas_E alcaligenes	138170	S	2	69	71	0.00917
Pseudomonas_F otitidis	138963	S	5	23	28	0.00362
Pseudomonas_B luteola	138153	S	1	1	2	0.00026
Acinetobacter bereziniae	137066	S	1	40	41	0.00530
Acinetobacter pullicarnis	137148	S	1	15	16	0.00207
Aquabacterium parvum	126468	S	64	551	615	0.07944
Aquabacterium sp003963115	126474	S	1	1	2	0.00026
Paraburkholderia phytofirmans	128028	S	10	46	56	0.00723
Paraburkholderia phenoliruptrix	128024	S	5	36	41	0.00530
Hylemonella sp019745555	127248	S	3	32	35	0.00452
Comamonas kerstersii	126841	S	3	19	22	0.00284
Caballeronia udeis	126787	S	5	4	9	0.00116
Pandoraea cepalis	127932	S	4	34	38	0.00491
Acidovorax temperans	126391	S	1	23	24	0.00310
Acidovorax sp024711405	126386	S	1	7	8	0.00103
Tepidiphilus succinatimandens	131059	S	1	12	13	0.00168
Leclercia_A pneumoniae	133192	S	6	44	50	0.00646
Pantoea mediterraneensis	133266	S	1	3	4	0.00052
Aliidiomarina maris	132270	S	3	8	11	0.00142
Azospirillum brasilense	114111	S	15	80	95	0.01227
Sphingomonas koreensis	125055	S	2	6	8	0.00103
Sphingomonas carotinifaciens	125017	S	1	3	4	0.00052
Sphingomonas sp019749955	125206	S	1	3	4	0.00052
Sphingobium yanoikuyae_A	124910	S	2	20	22	0.00284
Erythrobacter colymbi	124266	S	1	6	7	0.00090
Ensifer adhaerens	119347	S	1	4	5	0.00065
Afipia broomeae	120310	S	1	13	14	0.00181
Bradyrhizobium sp001556045	120526	S	1	2	3	0.00039
Hyphomicrobium_C zavarzinii	118825	S	1	0	1	0.00013
Cutibacterium acnes	48418	S	172	2412	2584	0.33376
Cutibacterium modestum	48421	S	8	17	25	0.00323
Cutibacterium granulosum	48420	S	2	1	3	0.00039
Propioniferax innocua	48550	S	1	0	1	0.00013
Corynebacterium gottingense	46057	S	2	5	7	0.00090
Corynebacterium sputi	46238	S	2	1	3	0.00039
Corynebacterium matruchotii	46098	S	1	3	4	0.00052
Corynebacterium sanguinis	46136	S	1	29	30	0.00387
Corynebacterium singulare	46140	S	1	9	10	0.00129
Mycobacterium gordonae	46461	S	5	10	15	0.00194
Mycobacterium lentiflavum	46507	S	1	0	1	0.00013
Mycobacterium llatzerense	46513	S	1	0	1	0.00013
Mycobacterium sp018882965	46720	S	1	0	1	0.00013
Lawsonella clevelandensis_A	46365	S	5	6	11	0.00142
UBA3913 sp002391425	44759	S	8	3	11	0.00142
Leucobacter sp017990305	44080	S	4	0	4	0.00052
Bifidobacterium longum	42796	S	2	38	40	0.00517
Brevibacterium marinum	42954	S	1	4	5	0.00065
Arthrobacter_D frigidicola	45019	S	1	25	26	0.00336
Dermacoccus nishinomiyaensis	43368	S	4	17	21	0.00271
Peptidiphaga sp000466165	42653	S	1	1	2	0.00026
Brachybacterium conglomeratum	43296	S	1	1	2	0.00026
Collinsella sp900548495	51001	S	2	20	22	0.00284
Allomeiothermus sp003226535	98865	S	40	41	81	0.01046
Allomeiothermus silvanus	98864	S	35	74	109	0.01408
Meiothermus luteus	98873	S	2	2	4	0.00052
Calidithermus timidus	98868	S	1	1	2	0.00026
Streptococcus sp000187445	56205	S	11	83	94	0.01214
Streptococcus thermophilus	56397	S	1	15	16	0.00207
Limosilactobacillus fermentum	55598	S	3	9	12	0.00155
Latilactobacillus curvatus	55467	S	1	4	5	0.00065
Carnobacterium divergens_A	55055	S	1	3	4	0.00052
Brochothrix thermosphacta	55757	S	1	0	1	0.00013
Staphylococcus epidermidis	57090	S	11	208	219	0.02829
Staphylococcus capitis	57076	S	8	31	39	0.00504
Anoxybacillus_A sp026847645	53445	S	2	7	9	0.00116
Anoxybacillus_A tepidamans	53446	S	1	1	2	0.00026
Anoxybacillus kestanbolensis	53436	S	1	9	10	0.00129
Effusibacillus pohliae	57200	S	4	0	4	0.00052
Robertmurraya yapensis	54289	S	3	5	8	0.00103
Thermicanus aegyptius	57151	S	3	18	21	0.00271
Cohnella laeviribosi	56584	S	1	1	2	0.00026
Sulfoacidibacillus ferrooxidans	53409	S	1	0	1	0.00013
Alistipes putredinis	80998	S	1	19	20	0.00258
BPGX01 sp026414605	76618	S	7	3	10	0.00129
Thermoflavifilum sp014961315	83931	S	7	1	8	0.00103
Sediminibacterium sp013391385	83794	S	1	7	8	0.00103
NICIL-2 sp002898675	90773	S	5	3	8	0.00103
Acutalibacter timonensis	64213	S	1	7	8	0.00103
Lachnospira sp000437735	62195	S	1	11	12	0.00155
Blautia_A sp900548245	60815	S	1	18	19	0.00245
Peptostreptococcus stomatis	70070	S	2	14	16	0.00207
DUPJ01 sp012838355	70177	S	1	0	1	0.00013
Pyrinomonas sp937135995	39495	S	1	1	2	0.00026
JAIXZD01 sp027489895	112967	S	1	0	1	0.00013
Thermorudis peleae	94888	S	1	0	1	0.00013
