#Classification	GQ41_bracken_P.kreport
k__Bacteria	20453795
k__Bacteria|p__Bacteroidetes	10722979
k__Bacteria|p__Firmicutes	9212881
k__Bacteria|p__Actinobacteria	477453
k__Bacteria|p__Proteobacteria	32115
k__Bacteria|p__Verrucomicrobia	7649
k__Bacteria|p__Spirochaetes	590
k__Bacteria|p__Candidatus_Saccharibacteria	49
k__Bacteria|p__Fusobacteria	45
k__Bacteria|p__Synergistetes	30
k__Eukaryota	2295
k__Eukaryota|k__Viridiplantae	1798
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1796
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Fungi	496
k__Eukaryota|k__Fungi|p__Ascomycota	496
k__Viruses	1050470
k__Viruses|k__Heunggongvirae	1050470
k__Viruses|k__Heunggongvirae|p__Uroviricota	1050470
