#Classification	S-22-POLJUN-G_bracken_O.kreport
k__Bacteria	25176
k__Bacteria|p__Proteobacteria	17657
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	12898
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	11265
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1610
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1811
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1616
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	95
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1232
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1232
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2
k__Bacteria|p__Cyanobacteria	6546
k__Bacteria|p__Cyanobacteria|o__Nostocales	6517
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	29
k__Bacteria|p__Actinobacteria	425
k__Bacteria|p__Actinobacteria|c__Actinomycetia	425
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	316
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	103
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1
k__Bacteria|p__Firmicutes	97
k__Bacteria|p__Firmicutes|c__Bacilli	97
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	97
k__Bacteria|p__Acidobacteria	379
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	379
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	379
k__Bacteria|p__Bacteroidetes	56
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	56
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	56
k__Bacteria|p__Planctomycetes	12
k__Bacteria|p__Planctomycetes|c__Planctomycetia	12
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	12
k__Eukaryota	1221
k__Eukaryota|k__Viridiplantae	1029
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1029
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1028
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1028
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	1
k__Eukaryota|k__Metazoa	191
k__Eukaryota|k__Metazoa|p__Chordata	191
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	191
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	191
