#Classification	S-4-DICUND-B_bracken_P.kreport
k__Bacteria	15748
k__Bacteria|p__Actinobacteria	10777
k__Bacteria|p__Cyanobacteria	169
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Proteobacteria	4037
k__Bacteria|p__Acidobacteria	693
k__Bacteria|p__Bacteroidetes	42
k__Bacteria|p__Planctomycetes	24
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	691
k__Eukaryota|k__Viridiplantae	351
k__Eukaryota|k__Viridiplantae|p__Streptophyta	351
k__Eukaryota|k__Metazoa	330
k__Eukaryota|k__Metazoa|p__Chordata	330
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Fungi|p__Basidiomycota	3
