#Classification	S-4-POLCOM-G_bracken_P.kreport
k__Bacteria	37365
k__Bacteria|p__Proteobacteria	33028
k__Bacteria|p__Actinobacteria	1916
k__Bacteria|p__Cyanobacteria	266
k__Bacteria|p__Firmicutes	168
k__Bacteria|p__Acidobacteria	1483
k__Bacteria|p__Bacteroidetes	500
k__Bacteria|p__Planctomycetes	2
k__Eukaryota	1595
k__Eukaryota|k__Metazoa	809
k__Eukaryota|k__Metazoa|p__Chordata	809
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	5
k__Eukaryota|k__Viridiplantae	780
k__Eukaryota|k__Viridiplantae|p__Streptophyta	780
