#Classification	GQ42_bracken_P.kreport
k__Bacteria	22076739
k__Bacteria|p__Bacteroidetes	17695270
k__Bacteria|p__Firmicutes	4225396
k__Bacteria|p__Actinobacteria	73676
k__Bacteria|p__Proteobacteria	81891
k__Bacteria|p__Spirochaetes	201
k__Bacteria|p__Candidatus_Saccharibacteria	107
k__Bacteria|p__Verrucomicrobia	83
k__Bacteria|p__Fusobacteria	106
k__Bacteria|p__Synergistetes	5
k__Eukaryota	1998
k__Eukaryota|k__Viridiplantae	1113
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1113
k__Eukaryota|k__Fungi	878
k__Eukaryota|k__Fungi|p__Ascomycota	878
k__Eukaryota|k__Metazoa	7
k__Eukaryota|k__Metazoa|p__Chordata	7
k__Viruses	1790
k__Viruses|k__Heunggongvirae	1790
k__Viruses|k__Heunggongvirae|p__Uroviricota	1790
