#Classification	S-8-DICUND-B_bracken_P.kreport
k__Bacteria	1251049
k__Bacteria|p__Actinobacteria	529566
k__Bacteria|p__Cyanobacteria	2144
k__Bacteria|p__Firmicutes	9972
k__Bacteria|p__Armatimonadetes	401
k__Bacteria|p__Deinococcus-Thermus	333
k__Bacteria|p__Chloroflexi	647
k__Bacteria|p__Tenericutes	23
k__Bacteria|p__Proteobacteria	631865
k__Bacteria|p__Acidobacteria	48973
k__Bacteria|p__Planctomycetes	11110
k__Bacteria|p__Verrucomicrobia	4172
k__Bacteria|p__Chlamydiae	98
k__Bacteria|p__Kiritimatiellaeota	529
k__Bacteria|p__Candidatus_Omnitrophica	6
k__Bacteria|p__Bacteroidetes	9579
k__Bacteria|p__Chlorobi	33
k__Bacteria|p__Rhodothermaeota	70
k__Bacteria|p__Balneolaeota	4
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	325
k__Bacteria|p__Candidatus_Saccharibacteria	70
k__Bacteria|p__Candidatus_Absconditabacteria	2
k__Bacteria|p__Nitrospirae	453
k__Bacteria|p__Spirochaetes	152
k__Bacteria|p__Synergistetes	119
k__Bacteria|p__Elusimicrobia	14
k__Bacteria|p__Calditrichaeota	6
k__Bacteria|p__Fusobacteria	186
k__Bacteria|p__Chrysiogenetes	167
k__Bacteria|p__Thermotogae	5
k__Bacteria|p__Deferribacteres	4
k__Bacteria|p__Thermodesulfobacteria	2
k__Eukaryota	50556
k__Eukaryota|k__Metazoa	15170
k__Eukaryota|k__Metazoa|p__Chordata	15170
k__Eukaryota|k__Fungi	10086
k__Eukaryota|k__Fungi|p__Ascomycota	9885
k__Eukaryota|k__Fungi|p__Basidiomycota	200
k__Eukaryota|k__Viridiplantae	25247
k__Eukaryota|k__Viridiplantae|p__Streptophyta	25207
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	40
k__Eukaryota|p__Apicomplexa	35
k__Eukaryota|p__Bacillariophyta	4
k__Eukaryota|p__Euglenozoa	8
k__Eukaryota|p__Evosea	3
k__Archaea	279
k__Archaea|p__Euryarchaeota	272
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Crenarchaeota	3
k__Archaea|p__Candidatus_Korarchaeota	1
k__Viruses	14
k__Viruses|k__Heunggongvirae	14
k__Viruses|k__Heunggongvirae|p__Uroviricota	13
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
