#Classification	NS9_bracken_P.kreport
k__Bacteria	9297613
k__Bacteria|p__Firmicutes	4956206
k__Bacteria|p__Actinobacteria	103272
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	4166222
k__Bacteria|p__Proteobacteria	71448
k__Bacteria|p__Verrucomicrobia	237
k__Bacteria|p__Candidatus_Saccharibacteria	110
k__Bacteria|p__Spirochaetes	104
k__Bacteria|p__Fusobacteria	8
k__Bacteria|p__Synergistetes	1
k__Archaea	337698
k__Archaea|p__Euryarchaeota	337698
k__Eukaryota	175
k__Eukaryota|k__Fungi	139
k__Eukaryota|k__Fungi|p__Ascomycota	119
k__Eukaryota|k__Fungi|p__Basidiomycota	19
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
k__Viruses	6429
k__Viruses|k__Heunggongvirae	6429
k__Viruses|k__Heunggongvirae|p__Uroviricota	6429
