#Classification	GQ32_bracken_C.kreport
k__Bacteria	29793742
k__Bacteria|p__Bacteroidetes	14677370
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	14674836
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1445
k__Bacteria|p__Bacteroidetes|c__Cytophagia	584
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	252
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	249
k__Bacteria|p__Bacteroidetes|c__Saprospiria	1
k__Bacteria|p__Chlorobi	59
k__Bacteria|p__Chlorobi|c__Chlorobia	59
k__Bacteria|p__Ignavibacteriae	28
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	28
k__Bacteria|p__Rhodothermaeota	19
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	19
k__Bacteria|p__Gemmatimonadetes	36
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	36
k__Bacteria|p__Fibrobacteres	21
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	21
k__Bacteria|p__Firmicutes	9747953
k__Bacteria|p__Firmicutes|c__Clostridia	9533809
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	103718
k__Bacteria|p__Firmicutes|c__Bacilli	103940
k__Bacteria|p__Firmicutes|c__Negativicutes	4540
k__Bacteria|p__Firmicutes|c__Tissierellia	1927
k__Bacteria|p__Firmicutes|c__Limnochordia	17
k__Bacteria|p__Actinobacteria	3818532
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3201609
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	616869
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	28
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	10
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	8
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	7
k__Bacteria|p__Tenericutes	1379
k__Bacteria|p__Tenericutes|c__Mollicutes	1379
k__Bacteria|p__Chloroflexi	281
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	176
k__Bacteria|p__Chloroflexi|c__Anaerolineae	48
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	15
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	12
k__Bacteria|p__Chloroflexi|c__Chloroflexia	15
k__Bacteria|p__Chloroflexi|c__Tepidiformia	5
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	4
k__Bacteria|p__Chloroflexi|c__Caldilineae	4
k__Bacteria|p__Deinococcus-Thermus	153
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	153
k__Bacteria|p__Cyanobacteria	49
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	49
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	3
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	2
k__Bacteria|p__Verrucomicrobia	946553
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	946517
k__Bacteria|p__Verrucomicrobia|c__Opitutae	31
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	3
k__Bacteria|p__Planctomycetes	248
k__Bacteria|p__Planctomycetes|c__Planctomycetia	182
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	64
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Chlamydiae	30
k__Bacteria|p__Chlamydiae|c__Chlamydiia	30
k__Bacteria|p__Kiritimatiellaeota	30
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	8
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	22
k__Bacteria|p__Proteobacteria	597479
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	383868
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	130744
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	7391
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	64421
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	11006
k__Bacteria|p__Proteobacteria|c__Oligoflexia	27
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	15
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	4
k__Bacteria|p__Spirochaetes	2185
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2185
k__Bacteria|p__Fusobacteria	644
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	644
k__Bacteria|p__Synergistetes	211
k__Bacteria|p__Synergistetes|c__Synergistia	211
k__Bacteria|p__Candidatus_Saccharibacteria	211
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	211
k__Bacteria|p__Acidobacteria	105
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	97
k__Bacteria|p__Acidobacteria|c__Blastocatellia	5
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	2
k__Bacteria|p__Acidobacteria|c__Holophagae	1
k__Bacteria|p__Thermotogae	60
