#Classification	NS46_bracken_P.kreport
k__Bacteria	8861475
k__Bacteria|p__Firmicutes	5051876
k__Bacteria|p__Actinobacteria	953633
k__Bacteria|p__Tenericutes	347
k__Bacteria|p__Chloroflexi	287
k__Bacteria|p__Cyanobacteria	234
k__Bacteria|p__Deinococcus-Thermus	81
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Bacteroidetes	2710563
k__Bacteria|p__Chlorobi	42
k__Bacteria|p__Ignavibacteriae	3
k__Bacteria|p__Rhodothermaeota	4
k__Bacteria|p__Fibrobacteres	28
k__Bacteria|p__Gemmatimonadetes	7
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Proteobacteria	103449
k__Bacteria|p__Verrucomicrobia	39129
k__Bacteria|p__Planctomycetes	102
k__Bacteria|p__Kiritimatiellaeota	42
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Candidatus_Omnitrophica	3
k__Bacteria|p__Spirochaetes	1115
k__Bacteria|p__Fusobacteria	208
k__Bacteria|p__Candidatus_Saccharibacteria	145
k__Bacteria|p__Candidatus_Bipolaricaulota	2
k__Bacteria|p__Synergistetes	81
k__Bacteria|p__Acidobacteria	34
k__Bacteria|p__Thermotogae	16
k__Bacteria|p__Nitrospirae	9
k__Bacteria|p__Deferribacteres	4
k__Bacteria|p__Atribacterota	3
k__Bacteria|p__Dictyoglomi	3
k__Bacteria|p__Chrysiogenetes	3
k__Bacteria|p__Aquificae	3
k__Archaea	68006
k__Archaea|p__Euryarchaeota	67995
k__Archaea|p__Crenarchaeota	6
k__Archaea|p__Candidatus_Thermoplasmatota	5
k__Eukaryota	4883
k__Eukaryota|k__Viridiplantae	3468
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3423
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	45
k__Eukaryota|k__Metazoa	1369
k__Eukaryota|k__Metazoa|p__Chordata	1369
k__Eukaryota|k__Fungi	30
k__Eukaryota|k__Fungi|p__Ascomycota	11
k__Eukaryota|k__Fungi|p__Basidiomycota	19
k__Eukaryota|p__Apicomplexa	12
k__Eukaryota|p__Euglenozoa	2
k__Viruses	79683
k__Viruses|k__Heunggongvirae	79626
k__Viruses|k__Heunggongvirae|p__Uroviricota	79626
k__Viruses|k__Sangervirae	57
k__Viruses|k__Sangervirae|p__Phixviricota	57
