#Classification	NS39_bracken_P.kreport
k__Bacteria	4380227
k__Bacteria|p__Firmicutes	3380222
k__Bacteria|p__Actinobacteria	189364
k__Bacteria|p__Bacteroidetes	746386
k__Bacteria|p__Verrucomicrobia	10741
k__Bacteria|p__Proteobacteria	53277
k__Bacteria|p__Spirochaetes	114
k__Bacteria|p__Candidatus_Saccharibacteria	38
k__Bacteria|p__Fusobacteria	60
k__Bacteria|p__Synergistetes	21
k__Eukaryota	48
k__Eukaryota|k__Viridiplantae	48
k__Eukaryota|k__Viridiplantae|p__Streptophyta	48
k__Viruses	29824
k__Viruses|k__Heunggongvirae	29824
k__Viruses|k__Heunggongvirae|p__Uroviricota	29824
