#Classification	S-19-POLPIL-B_bracken_O.kreport
k__Bacteria	2756
k__Bacteria|p__Proteobacteria	1849
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1599
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1599
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	250
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	109
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	139
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1
k__Bacteria|p__Cyanobacteria	585
k__Bacteria|p__Cyanobacteria|o__Nostocales	585
k__Bacteria|p__Actinobacteria	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	4
k__Bacteria|p__Acidobacteria	317
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	317
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	317
k__Bacteria|p__Bacteroidetes	1
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	1
k__Eukaryota	15
k__Eukaryota|k__Metazoa	15
k__Eukaryota|k__Metazoa|p__Chordata	15
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	15
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	15
