#Classification	S-19-POLPIL-B_bracken_C.kreport
k__Bacteria	2760
k__Bacteria|p__Proteobacteria	2434
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1599
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	835
k__Bacteria|p__Acidobacteria	317
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	317
k__Bacteria|p__Actinobacteria	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia	8
k__Bacteria|p__Bacteroidetes	1
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1
k__Eukaryota	15
k__Eukaryota|k__Metazoa	15
k__Eukaryota|k__Metazoa|p__Chordata	15
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	15
