#Classification	S-14-POLJUN-G_bracken_C.kreport
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	4
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	73
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	15
k__Eukaryota|p__Bacillariophyta	32
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	31
k__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae	1
k__Eukaryota|p__Apicomplexa	17
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	12
k__Eukaryota|p__Apicomplexa|c__Conoidasida	5
k__Eukaryota|p__Cercozoa	12
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	12
k__Eukaryota|p__Euglenozoa	5
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	5
k__Eukaryota|c__Cryptophyceae	6
k__Eukaryota|p__Rhodophyta	2
k__Eukaryota|p__Rhodophyta|c__Bangiophyceae	2
k__Archaea	65
k__Archaea|p__Euryarchaeota	61
k__Archaea|p__Euryarchaeota|c__Halobacteria	58
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	3
k__Archaea|p__Crenarchaeota	1
k__Archaea|p__Crenarchaeota|c__Thermoprotei	1
k__Viruses	71
k__Viruses|k__Heunggongvirae	70
k__Viruses|k__Heunggongvirae|p__Uroviricota	70
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	70
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	1
