#Classification	NS58_bracken_P.kreport
k__Bacteria	15679473
k__Bacteria|p__Firmicutes	14245903
k__Bacteria|p__Actinobacteria	1253595
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Bacteroidetes	119628
k__Bacteria|p__Chlorobi	4
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Proteobacteria	57584
k__Bacteria|p__Candidatus_Saccharibacteria	1473
k__Bacteria|p__Fusobacteria	497
k__Bacteria|p__Verrucomicrobia	430
k__Bacteria|p__Spirochaetes	343
k__Bacteria|p__Thermotogae	1
k__Eukaryota	51276
k__Eukaryota|k__Fungi	48868
k__Eukaryota|k__Fungi|p__Ascomycota	48868
k__Eukaryota|k__Viridiplantae	2407
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2407
k__Eukaryota|p__Euglenozoa	1
k__Archaea	5
k__Archaea|p__Euryarchaeota	5
k__Viruses	82942
k__Viruses|k__Heunggongvirae	82939
k__Viruses|k__Heunggongvirae|p__Uroviricota	82939
k__Viruses|k__Sangervirae	3
k__Viruses|k__Sangervirae|p__Phixviricota	3
