#Classification	SRR20002392_bracken_P.kreport
k__Bacteria	23309
k__Bacteria|p__Proteobacteria	18509
k__Bacteria|p__Actinobacteria	3212
k__Bacteria|p__Firmicutes	1429
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Bacteroidetes	153
k__Eukaryota	2882
k__Eukaryota|k__Metazoa	2646
k__Eukaryota|k__Metazoa|p__Chordata	2646
k__Eukaryota|k__Fungi	205
k__Eukaryota|k__Fungi|p__Basidiomycota	204
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	29
k__Eukaryota|k__Viridiplantae|p__Streptophyta	29
k__Eukaryota|p__Apicomplexa	1
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
