name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sphingomonas sp022662475	125218	S	38	1343	1381	0.23798
Sphingomonas sp000251145	125102	S	5	233	238	0.04101
Sphingomonas sp000241485	125101	S	3	111	114	0.01965
Sphingomonas glacialis_A	125043	S	2	61	63	0.01086
Sphingomonas sp026540855	125241	S	1	66	67	0.01155
Sphingomonas glacialis	125042	S	1	82	83	0.01430
Sphingomonas sp001424005	125125	S	1	80	81	0.01396
Methylobacterium sp001455965	118303	S	28	1077	1105	0.19042
Methylobacterium sp030700285	118344	S	15	812	827	0.14251
Methylobacterium sp008039875	118308	S	1	45	46	0.00793
Rhizobium rhododendri	119997	S	1	84	85	0.01465
Lichenicola sp903844135	113925	S	2	161	163	0.02809
Lichenicoccus roseus	113922	S	1	23	24	0.00414
Skermanella aerolata	114193	S	1	28	29	0.00500
Pseudomonas_E graminis_D	138372	S	1	85	86	0.01482
Frondihabitans sp002074055	43908	S	15	993	1008	0.17370
Frondihabitans sp001423105	43906	S	1	54	55	0.00948
Terriglobus roseus	40380	S	30	230	260	0.04480
Granulicella_D sp903642265	40207	S	2	0	2	0.00034
Granulicella sp019351975	40174	S	2	9	11	0.00190
BOG-944 sp003134215	52989	S	1	64	65	0.01120
