#Classification	S-11-POLPIL-B_bracken_P.kreport
k__Bacteria	24332
k__Bacteria|p__Proteobacteria	16145
k__Bacteria|p__Actinobacteria	6139
k__Bacteria|p__Cyanobacteria	543
k__Bacteria|p__Firmicutes	120
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	865
k__Bacteria|p__Bacteroidetes	289
k__Bacteria|p__Planctomycetes	226
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	359
k__Eukaryota|k__Viridiplantae	182
k__Eukaryota|k__Viridiplantae|p__Streptophyta	182
k__Eukaryota|k__Metazoa	149
k__Eukaryota|k__Metazoa|p__Chordata	149
k__Eukaryota|k__Fungi	26
k__Eukaryota|k__Fungi|p__Ascomycota	26
