#Classification	S-11-POLPIL-B_bracken_C.kreport
k__Bacteria	24327
k__Bacteria|p__Proteobacteria	16145
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8899
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6824
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	419
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Actinobacteria	6682
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6682
k__Bacteria|p__Firmicutes	120
k__Bacteria|p__Firmicutes|c__Bacilli	120
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Acidobacteria	863
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	863
k__Bacteria|p__Bacteroidetes	289
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	109
k__Bacteria|p__Bacteroidetes|c__Cytophagia	180
k__Bacteria|p__Planctomycetes	225
k__Bacteria|p__Planctomycetes|c__Planctomycetia	225
k__Eukaryota	359
k__Eukaryota|k__Viridiplantae	182
k__Eukaryota|k__Viridiplantae|p__Streptophyta	182
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	173
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	9
k__Eukaryota|k__Metazoa	149
k__Eukaryota|k__Metazoa|p__Chordata	149
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	149
k__Eukaryota|k__Fungi	26
k__Eukaryota|k__Fungi|p__Ascomycota	26
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	16
