#Classification	SRR5091516_bracken_P.kreport
k__Bacteria	9421283
k__Bacteria|p__Bacteroidetes	7147526
k__Bacteria|p__Firmicutes	2148520
k__Bacteria|p__Actinobacteria	28732
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Proteobacteria	92728
k__Bacteria|p__Fusobacteria	3705
k__Bacteria|p__Verrucomicrobia	50
k__Bacteria|p__Spirochaetes	11
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Eukaryota	28
k__Eukaryota|k__Viridiplantae	22
k__Eukaryota|k__Viridiplantae|p__Streptophyta	22
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Viruses	4606
k__Viruses|k__Heunggongvirae	4606
k__Viruses|k__Heunggongvirae|p__Uroviricota	4606
