#Classification	SRR20002471_bracken_P.kreport
k__Bacteria	29071
k__Bacteria|p__Proteobacteria	23896
k__Bacteria|p__Actinobacteria	2539
k__Bacteria|p__Firmicutes	2504
k__Bacteria|p__Deinococcus-Thermus	61
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Bacteroidetes	63
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	5981
k__Eukaryota|k__Metazoa	2988
k__Eukaryota|k__Metazoa|p__Chordata	2988
k__Eukaryota|k__Fungi	306
k__Eukaryota|k__Fungi|p__Basidiomycota	289
k__Eukaryota|k__Fungi|p__Ascomycota	17
k__Eukaryota|k__Viridiplantae	2675
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2675
k__Eukaryota|p__Apicomplexa	11
