#Classification	GQ10_bracken_P.kreport
k__Bacteria	798673
k__Bacteria|p__Firmicutes	461404
k__Bacteria|p__Actinobacteria	65101
k__Bacteria|p__Bacteroidetes	141398
k__Bacteria|p__Proteobacteria	121178
k__Bacteria|p__Candidatus_Saccharibacteria	3164
k__Bacteria|p__Fusobacteria	5922
k__Bacteria|p__Spirochaetes	504
k__Eukaryota	3212
k__Eukaryota|k__Metazoa	3211
k__Eukaryota|k__Metazoa|p__Chordata	3211
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
