#Classification	S-3-POLCOM-B_bracken_P.kreport
k__Bacteria	44662
k__Bacteria|p__Proteobacteria	38546
k__Bacteria|p__Actinobacteria	3114
k__Bacteria|p__Cyanobacteria	15
k__Bacteria|p__Acidobacteria	1934
k__Bacteria|p__Bacteroidetes	1037
k__Bacteria|p__Planctomycetes	13
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	120
k__Eukaryota|k__Metazoa	58
k__Eukaryota|k__Metazoa|p__Chordata	58
k__Eukaryota|k__Fungi	20
k__Eukaryota|k__Fungi|p__Ascomycota	15
k__Eukaryota|k__Fungi|p__Basidiomycota	5
k__Eukaryota|k__Viridiplantae	41
k__Eukaryota|k__Viridiplantae|p__Streptophyta	41
