PD	23049686.86 ± 11220729.84 [2082224, 168818897]
boreal_moss	9914680.15 ± 1583630.12 [6975237, 15985358]
Saliva	10291884.27 ± 6947378.38 [1736531, 25698891]
Olive	31565939.82 ± 5076519.80 [21938070, 42282261]
AD_Skin	2930000.28 ± 3962127.78 [8236, 22420862]
RA_Gut	11112432.00 ± 8278550.75 [594728, 65105761]
NAFLD	19270038.32 ± 4197898.33 [11631723, 29029081]
Feces	36416370.96 ± 11214609.88 [1810231, 52676976]
Bee	341778.43 ± 40992.00 [250168, 444311]
